cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
4c3035c2-5f63-49a2-a80c-f47944d6f717,,0,这期真的太治愈了，看了三遍,2025-10-27 09:15:10,用户051,156,0
21a7bdf3-1742-4f4b-b6d8-acb1e33c31ec,4c3035c2-5f63-49a2-a80c-f47944d6f717,1,我也是，每次都被打动,2025-10-27 09:32:42,用户A51,42,0
ebdcaaba-aba0-4e38-99c0-bbc620546035,,0,有种纪录片的质感,2025-10-27 10:20:25,用户052,88,0
6d9b278f-4d81-4e10-9045-93fd7e9fb688,ebdcaaba-aba0-4e38-99c0-bbc620546035,1,光影很真实,2025-10-27 10:35:16,用户A52,25,0
3fd8c980-e694-404c-9349-0eb1e4172252,,0,这背景音乐叫什么？,2025-10-27 11:03:14,用户053,63,0
7b4bd32b-5abf-4bbb-9321-10cab6fdfe6d,3fd8c980-e694-404c-9349-0eb1e4172252,1,《风的形状》,2025-10-27 11:19:02,用户A53,19,0
5ff424d8-cf08-4ffa-af81-6fc94319467f,,0,博主太会选素材了,2025-10-27 12:24:18,用户054,117,0
cdf548dc-9523-4799-bd53-3b0e3636efe2,5ff424d8-cf08-4ffa-af81-6fc94319467f,1,每帧都像画,2025-10-27 12:35:20,用户A54,33,0
b5e3a6de-f2fb-496f-bd75-087043216f56,,0,这个色调真的太好看了,2025-10-27 13:17:59,用户055,79,0
dbb68ac4-ee7d-460e-bbc0-5a8f8dbe2a5d,,0,有点像日剧的镜头语言,2025-10-27 14:22:46,用户056,95,0
f0544906-5edb-499f-a300-e63b521cc892,dbb68ac4-ee7d-460e-bbc0-5a8f8dbe2a5d,1,特别干净,2025-10-27 14:39:00,用户A56,27,0
08d32e84-be76-4fb7-a642-c254c2c34fb6,,0,看到最后泪崩了,2025-10-27 15:31:18,用户057,163,0
d6f28970-1302-4e94-a919-91798d0cfd12,08d32e84-be76-4fb7-a642-c254c2c34fb6,1,太触动了,2025-10-27 15:47:52,用户A57,48,0
1b6cbc59-9afc-42f6-9a91-cc4b53675f89,,0,这期真的有力量,2025-10-27 16:43:09,用户058,138,0
cfe14462-1192-4d70-bb38-e56a4f56e8f1,1b6cbc59-9afc-42f6-9a91-cc4b53675f89,1,“温柔的人最强大”,2025-10-27 17:00:31,用户A58,44,0
3f17893e-e780-4d68-a084-960bdd1e7c70,,0,每次都被文案打动,2025-10-27 17:50:05,用户059,119,0
7dc028b7-be30-46c9-9c16-945e75309fae,,0,看完又想起了某个人,2025-10-27 18:35:42,用户060,102,0
913b6822-d286-46d7-8979-05ee2779b011,7dc028b7-be30-46c9-9c16-945e75309fae,1,我懂那种感觉,2025-10-27 18:52:00,用户A60,35,0
