cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
360d9956-27b9-4de9-8b95-d907c79a2222,,0,这期真的太治愈了，看了三遍,2025-10-27 09:15:10,用户051,156,0
2f964b1d-a964-4ff6-91b6-c9ad6870682c,360d9956-27b9-4de9-8b95-d907c79a2222,1,我也是，每次都被打动,2025-10-27 09:32:42,用户A51,42,0
3816d8e9-2a0b-42e2-9ab6-5d0544854d1c,,0,有种纪录片的质感,2025-10-27 10:20:25,用户052,88,0
951e3051-c1e1-4d43-b4c2-1e58c739cf60,3816d8e9-2a0b-42e2-9ab6-5d0544854d1c,1,光影很真实,2025-10-27 10:35:16,用户A52,25,0
c40f3da8-440f-44a0-8b6c-253ae9b49ea6,,0,这背景音乐叫什么？,2025-10-27 11:03:14,用户053,63,0
367a7ff3-e073-4af4-8627-09959b5f3aaa,c40f3da8-440f-44a0-8b6c-253ae9b49ea6,1,《风的形状》,2025-10-27 11:19:02,用户A53,19,0
6280d193-590e-41df-862b-2595081aa0c4,,0,博主太会选素材了,2025-10-27 12:24:18,用户054,117,0
70b57169-b329-4ce5-aee3-a92d4a716c0e,6280d193-590e-41df-862b-2595081aa0c4,1,每帧都像画,2025-10-27 12:35:20,用户A54,33,0
872999a1-0ed6-4dd7-b51c-9904ea5b946a,,0,这个色调真的太好看了,2025-10-27 13:17:59,用户055,79,0
0ac03daf-0bc3-4cb7-b26f-118d5dd61f2c,,0,有点像日剧的镜头语言,2025-10-27 14:22:46,用户056,95,0
0bf50caf-1342-4676-bfcd-33d820d67171,0ac03daf-0bc3-4cb7-b26f-118d5dd61f2c,1,特别干净,2025-10-27 14:39:00,用户A56,27,0
048ef2ce-f18a-4c7f-b0b7-6b6c13ddd2f9,,0,看到最后泪崩了,2025-10-27 15:31:18,用户057,163,0
e8c2da03-3ee0-4c80-9f0d-969d0ced1a6c,048ef2ce-f18a-4c7f-b0b7-6b6c13ddd2f9,1,太触动了,2025-10-27 15:47:52,用户A57,48,0
f077e50b-4aa5-4516-ad31-627f39eff335,,0,这期真的有力量,2025-10-27 16:43:09,用户058,138,0
aeccc441-f85b-431a-963b-b580d91edd0c,f077e50b-4aa5-4516-ad31-627f39eff335,1,“温柔的人最强大”,2025-10-27 17:00:31,用户A58,44,0
a0c2a36e-39f7-4e46-a15c-e7a3cf0fab34,,0,每次都被文案打动,2025-10-27 17:50:05,用户059,119,0
af053fda-5701-4e4d-b6c5-056b49c26d49,,0,看完又想起了某个人,2025-10-27 18:35:42,用户060,102,0
b85bdffe-363e-42c9-b60c-5691621e97c4,af053fda-5701-4e4d-b6c5-056b49c26d49,1,我懂那种感觉,2025-10-27 18:52:00,用户A60,35,0
cf073de1-d6e9-4f3c-9952-8958e846b503,,0,真的希望这种风格一直保持,2025-10-28 09:20:51,用户061,127,0
4779f50f-aefd-4ff8-97be-9a17e1eeaf28,cf073de1-d6e9-4f3c-9952-8958e846b503,1,永远支持,2025-10-28 09:36:09,用户A61,39,0
627e3b96-199e-49ac-9474-f7f42897e428,,0,光影太绝了,2025-10-28 10:14:27,用户062,84,0
