cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
b593baf0-9745-4f44-9ed3-289e30d2600d,,0,这期真的太治愈了，看了三遍,2025-10-27 09:15:10,用户051,156,0
77af921f-bbde-4f1c-85f5-16446f33b0ad,b593baf0-9745-4f44-9ed3-289e30d2600d,1,我也是，每次都被打动,2025-10-27 09:32:42,用户A51,42,0
9cfd1424-a26e-417b-8ec4-4ee0d53e5240,,0,有种纪录片的质感,2025-10-27 10:20:25,用户052,88,0
41488d04-f952-4ee5-a149-f2a3363eaf59,9cfd1424-a26e-417b-8ec4-4ee0d53e5240,1,光影很真实,2025-10-27 10:35:16,用户A52,25,0
5f093fcf-50e6-468b-8325-8b1d9fd379da,,0,这背景音乐叫什么？,2025-10-27 11:03:14,用户053,63,0
90f7839d-53a0-46ad-8fa8-66fda512cd54,5f093fcf-50e6-468b-8325-8b1d9fd379da,1,《风的形状》,2025-10-27 11:19:02,用户A53,19,0
be4a18f8-f19d-4901-b317-755ac6b0f19c,,0,博主太会选素材了,2025-10-27 12:24:18,用户054,117,0
f19941bb-2819-4827-968f-4aaa7e2dcb39,be4a18f8-f19d-4901-b317-755ac6b0f19c,1,每帧都像画,2025-10-27 12:35:20,用户A54,33,0
4bd7e737-96ad-4ddf-9fb1-71cb6c5367a6,,0,这个色调真的太好看了,2025-10-27 13:17:59,用户055,79,0
aed3d704-e73b-46c5-8440-9f424b1d705e,,0,有点像日剧的镜头语言,2025-10-27 14:22:46,用户056,95,0
97ad8238-a6d6-4d41-ae46-3dd6cffcccf6,aed3d704-e73b-46c5-8440-9f424b1d705e,1,特别干净,2025-10-27 14:39:00,用户A56,27,0
42506608-25bb-4d29-b2e5-d7d32a8934ac,,0,看到最后泪崩了,2025-10-27 15:31:18,用户057,163,0
cf2b0c36-9322-497c-90c2-64c9bfda0383,42506608-25bb-4d29-b2e5-d7d32a8934ac,1,太触动了,2025-10-27 15:47:52,用户A57,48,0
9e5aa8b8-4d2f-4a26-9879-369700d0743a,,0,这期真的有力量,2025-10-27 16:43:09,用户058,138,0
c765c852-7b2c-4a4a-959e-ae9ec59344aa,9e5aa8b8-4d2f-4a26-9879-369700d0743a,1,“温柔的人最强大”,2025-10-27 17:00:31,用户A58,44,0
68f171e7-dd5f-48cc-94dd-a5505e9ed8c3,,0,每次都被文案打动,2025-10-27 17:50:05,用户059,119,0
cf7c0e45-22ef-4733-97d3-ed8a87c4f491,,0,看完又想起了某个人,2025-10-27 18:35:42,用户060,102,0
d3984b2b-e8c3-4942-b936-77dd9d402749,cf7c0e45-22ef-4733-97d3-ed8a87c4f491,1,我懂那种感觉,2025-10-27 18:52:00,用户A60,35,0
5b8710a6-f5a3-41d3-b74b-ffb5fa092ea0,,0,真的希望这种风格一直保持,2025-10-28 09:20:51,用户061,127,0
ee55df07-0123-4595-9a20-e39837fc9506,5b8710a6-f5a3-41d3-b74b-ffb5fa092ea0,1,永远支持,2025-10-28 09:36:09,用户A61,39,0
fd56a0fe-8c35-486a-87a9-35bc2aafa50d,,0,光影太绝了,2025-10-28 10:14:27,用户062,84,0
b6cc57b2-12f8-491f-b0fd-77b48e3ebe90,fd56a0fe-8c35-486a-87a9-35bc2aafa50d,1,感觉像电影镜头,2025-10-28 10:25:50,用户A62,22,0
8300e0d0-e148-4f4f-bc4c-2bfe11338dea,,0,文案真的越来越有深度,2025-10-28 11:28:33,用户063,112,0
05a3caa0-55cf-48bc-9662-4ada9476bda7,8300e0d0-e148-4f4f-bc4c-2bfe11338dea,1,尤其是结尾那段,2025-10-28 11:39:46,用户A63,30,0
457f7bbe-c0ce-4fc0-9ba8-01181e6146a7,,0,这音乐是原创的吗？,2025-10-28 12:10:59,用户064,74,0
97d1eaa7-2126-40d3-8cbf-a93c9a3a9ec5,,0,太美了吧这取景,2025-10-28 13:05:14,用户065,96,0
53a6c9e9-adf3-46ef-8e82-118ac2110c94,97d1eaa7-2126-40d3-8cbf-a93c9a3a9ec5,1,光线抓得好,2025-10-28 13:21:58,用户A65,28,0
81d63354-d3d4-4b63-88e3-4170efa3e178,,0,想看这个系列的幕后,2025-10-28 14:19:44,用户066,105,0
431517fc-6b9c-49e8-8c40-48a51708e491,81d63354-d3d4-4b63-88e3-4170efa3e178,1,他们微博有发,2025-10-28 14:35:10,用户A66,31,0
676ace42-2a60-4896-98d0-98eda4b3d4ba,,0,感觉故事很真实,2025-10-28 15:42:27,用户067,91,0
ccf6e50a-a289-47d5-8eb5-a30a7c0712fa,676ace42-2a60-4896-98d0-98eda4b3d4ba,1,像生活里的片段,2025-10-28 15:59:18,用户A67,24,0
53375230-5a0f-42f2-913c-cf47c4825b4f,,0,太温柔了这期,2025-10-28 16:37:51,用户068,152,0
166a9249-0d30-403c-befd-9866e696eae0,53375230-5a0f-42f2-913c-cf47c4825b4f,1,温柔到骨子里,2025-10-28 16:55:20,用户A68,50,0
ba4c2171-e024-4287-92d5-475fe594dde1,,0,看到那句话直接泪目,2025-10-28 17:26:10,用户069,134,0
96a5586d-73a8-4777-88dc-9e0f6a7e129a,ba4c2171-e024-4287-92d5-475fe594dde1,1,“要温柔也要坚定”,2025-10-28 17:44:09,用户A69,46,0
5f489370-5567-4818-8415-7457ce189000,,0,这段bgm让我想起夏天,2025-10-28 18:18:42,用户070,83,0
63663be1-8f0a-4c35-95ae-6c8978349534,,0,太喜欢这个系列了,2025-10-29 09:09:16,用户071,145,0
33d6eca8-ad9f-4ccf-a754-680b4e33dee0,63663be1-8f0a-4c35-95ae-6c8978349534,1,我都收藏了,2025-10-29 09:22:47,用户A71,38,0
a49fa760-fd31-4730-99fc-3a1a4fb9e49a,,0,感觉节奏刚刚好,2025-10-29 10:22:03,用户072,103,0
f47366a7-e3c4-40aa-92c2-4c223c647670,a49fa760-fd31-4730-99fc-3a1a4fb9e49a,1,毫不拖沓,2025-10-29 10:37:55,用户A72,29,0
f090ee6f-68c5-44fa-9a04-b108061d0540,,0,画面好有质感,2025-10-29 11:11:28,用户073,116,0
22334b53-6054-4a61-8b12-b630c967e6e1,,0,看完好平静,2025-10-29 12:27:44,用户074,98,0
