cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
d75ae1fb-6c55-4c42-986c-2fa95feb4f21,,0,你们目前在使用哪款办公软件呢？,,人类行为设计师-小周,64,0
50cb0231-ae13-4b03-af3b-8af21ba6b279,,0,眼睁睁看着飞书从公测做到今天这种水平！字节的研发设计真的厉害,,基德李叫我王老八,59,0
1c3bad5b-3e46-45d0-a6ca-a6ec828479a8,,0,有人做多维表格吗？付费。,,方子,0,0
501eb84c-ad5d-49ff-af11-6e089f5110ad,,0,收费呀 有些功能不能用,,华仔,2,0
41522837-02ee-4588-8a85-6e4fe14a80c7,,0,收费呀 有些功能不能用,,"华仔
...",2,0
0b66fda2-c105-4c3c-a395-988ff0a66f27,41522837-02ee-4588-8a85-6e4fe14a80c7,1,大部分功能都是免费的啊,,人类行为设计师-小周,0,0
ae3d3628-4445-4fd2-8b54-f9366af5fea7,,0,一个工作，又微信，又企业微信，又钉钉，又飞书,,ning,320,0
e7cea890-4f1d-4e9e-8e32-b7ad8ffcd507,,0,用deepseek一会就提出字段额度用完，怎么办？,,linda,0,0
8ded23fd-a1cf-4486-91a6-5ba2b7a8cd53,,0,"不是哥们,你怎么啥都会,我们公司新媒体运营都没懂的多.",,摄像师Tony,16,0
ab9b528f-a013-4d9d-a069-fae847f6a718,,0,我觉得你在做飞书广告,,胡同,4,0
a0c9f035-9842-4f03-8dc8-4c1a45ef9c6e,,0,请问管理BGM类的用什么软件呢,,Augustine,1,0
e2d7fe94-5486-44d8-9f49-804f0d16c9d8,,0,其实做抖音很简单，开着公司的账号没事在评论区转转，别人经常看到我，自然会好奇我是做什么的牛马,,重生之我在宜宾做财税,2,0
33f80598-59d4-46b2-9e2a-d283e208e211,,0,求助大神！！！我飞书制作了一个二维码填表，想设置提交时间必须在扫码15分钟以后，这个怎么弄？,,晨,0,0
f60089ce-5862-4598-8059-20b4d1ac78b2,,0,飞书多维表格里的，配置-自定义要求，怎么也找不，怎么才能找到啊，请教大神,,印记,0,0
f0df3001-ca2d-4484-ba29-2c5a62d99842,,0,用deepseek一会就提出字段额度用完，怎么办？,,linda,0,0
