cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
8c9bd95e-681d-4610-b170-f66d1df61bf3,,0,飞书是干什么用的呢,,用户8252893155777,4,0
b7a0c120-be1a-462a-8ead-2adef0f550f2,,0,飞书是干什么用的呢,,"用户8252893155777
...",4,0
8a0e3f96-976f-4614-a074-66f0be86665c,b7a0c120-be1a-462a-8ead-2adef0f550f2,1,工作软件,,孤单听雨的猫,0,0
5fd4b602-2da5-4583-9e6b-f25708725e41,,0,飞书是干什么用的呢,,"用户8252893155777
...",4,0
6fbcea28-35ed-404c-8f33-552a44afac5c,5fd4b602-2da5-4583-9e6b-f25708725e41,1,飞信,,好想谈恋爱,0,0
f43140d1-2c78-43e7-a0fd-7f185bb7a5d2,,0,马化腾因该把做腾讯企业微信负责人开了挖点飞书的人还有机会救一下这个赛道，要不就把飞书收购过来，公司换了飞书确实好用，但是客户不看飞书，又不能打通，天天两个软件来回切累死，这事企业微信负责人全责。,,NIC,1,0
c7597658-5b83-448e-ab66-ed2b7cc1ba3d,,0,飞书能取代什么,,雨露清晨,7,0
624764ba-ec3d-40c7-a93f-825747b96d67,,0,飞书能取代什么,,"雨露清晨
...",7,0
9a6cb832-94b5-4a4a-b728-bcbafea8f3c7,624764ba-ec3d-40c7-a93f-825747b96d67,1,顶多取代钉钉,,斩妄,0,0
c8be8554-fe02-47c4-ab4f-c442d938a203,,0,飞书能取代什么,,"雨露清晨
...",7,0
749937cc-8b39-40bf-bc7b-594a2eed91c6,c8be8554-fe02-47c4-ab4f-c442d938a203,1,企业微信,,莲藕钻孔员,0,0
99a329b9-1ffb-4c04-869d-f1143caf89af,,0,在飞书带的豆包问飞书管理员会不会监控聊天记录什么水平,,A-天道酬勤,0,0
9cf44f7b-c701-4cc3-bab7-ac139df83e5c,,0,不知道什么是飞书,,伟伟,0,0
c6693329-432a-41be-a229-2fd84431cec6,,0,飞书电脑端怎么删除会议记录,,mirror,0,0
0b5e47a3-f602-4e5a-bef0-a7bcd2bf4b85,,0,飞书是什么作用啊？,,花瓣雨,5,0
5e1aeefc-f8f0-4e50-ae5a-6f7619f64a72,,0,飞书是什么作用啊？,,"花瓣雨
...",5,0
714ea885-c763-4cd6-a8f8-05bcf84e8bd2,5e1aeefc-f8f0-4e50-ae5a-6f7619f64a72,1,有解决光棍脱单的作用,,往事不再提,0,0
3c0be59a-a96e-4c02-9088-d2ffc1e7c6f3,,0,飞书是什么作用啊？,,"花瓣雨
...",5,0
6b62e96b-0058-40a1-92da-c3fc9d8198dc,3c0be59a-a96e-4c02-9088-d2ffc1e7c6f3,1,大概和飞机差不多吧,,高山,0,0
cb3952ff-4ef8-4aaa-99a2-12c801515458,,0,飞书，我每天都要用的工具,,洛美,0,0
3e8e3dd6-8983-43d7-a4f2-41f3822b7b5e,,0,飞书是不是和AI很像？,,59661552337,0,0
a9b40f61-bbd2-4c88-ab43-c355b7d3bddc,,0,飞书是输入法么？,,随丰〔套猴子版〕,6,0
eab525e9-6583-41c2-8d4b-a57e7a675571,,0,飞书是输入法么？,,"随丰〔套猴子版〕
...",6,0
8862bc7f-2233-4241-9472-9a5e548b8483,eab525e9-6583-41c2-8d4b-a57e7a675571,1,不是，飞书是一本哈利波特的那本魔法书，它能飞,,皓峰大叔,0,0
3078b639-7a76-499e-a76d-6554d756c3d0,,0,飞书是输入法么？,,"随丰〔套猴子版〕
...",6,0
e6cc56f2-6333-4654-acf0-ceeaed9c9397,3078b639-7a76-499e-a76d-6554d756c3d0,1,办公软件,,二五一十,0,0
013e9814-1c77-45e5-9958-bf6d2e8bc5ad,,0,飞书是一个让牛马自动化的工具。,,！！！~,223,0
c08be7f1-33a6-4727-97e2-a62457ab3c60,,0,飞书是一个让牛马自动化的工具。,,"！！！~
...",223,0
a9b98008-3bd1-4c21-ac11-983fec552915,c08be7f1-33a6-4727-97e2-a62457ab3c60,1,散了散了,,冯奶宝,0,0
3172905c-a65f-4be1-a862-32f231d584d7,,0,飞书是一个让牛马自动化的工具。,,"！！！~
...",223,0
501d4401-a340-4e58-a7eb-26600a23c05e,3172905c-a65f-4be1-a862-32f231d584d7,1,通俗易懂,,换乘,0,0
77563799-99f5-4906-af73-41eb8ba5cff1,,0,飞书是一个让牛马自动化的工具。,,"！！！~
...",223,0
939297a2-0d3c-4a3a-b47d-945b1990741f,77563799-99f5-4906-af73-41eb8ba5cff1,1,真实,,华子,0,0
029642c5-f4bd-430e-88e3-e67cb7ede617,,0,飞书是一个让牛马自动化的工具。,,"！！！~
...",223,0
11d15477-d429-4831-9d9b-5cfa493e1ad0,029642c5-f4bd-430e-88e3-e67cb7ede617,1,nan,,白驹过隙,0,0
5683750f-e26d-4540-8320-f1ef2d2a6ada,,0,飞书是办公软件，类似于office和WPS，只不过比他们更高级了一点,,ou利斯,0,0
fdf7b6cb-7d6d-4818-bbc1-617e8f8ba6dc,,0,没看明白飞书是干什么的？,,心随舞动,12,0
3a362eed-1bfe-4468-b2ed-e556bda8d398,,0,没看明白飞书是干什么的？,,"心随舞动
...",12,0
76eafa3e-5845-48d5-9d6f-5688c464318b,3a362eed-1bfe-4468-b2ed-e556bda8d398,1,真正的老板 谁研究这个。。,,等不等（男）,0,0
196eded0-5fe5-4445-b3f8-514af4ce796b,,0,没看明白飞书是干什么的？,,"心随舞动
...",12,0
6fcb3996-1d00-4eb5-bb5b-366437e01371,196eded0-5fe5-4445-b3f8-514af4ce796b,1,公司里要用,,就想睡个好觉,0,0
50b5a278-22e4-46b0-b9ac-6966fbd69600,,0,飞书是什么科普视频,,我去,0,0
11ff0fec-bc8f-4b5f-8d7a-b20ad7c8004a,,0,飞书是什么软件,,梦之蓝,0,0
24b72efd-2a4a-4287-8030-cac1d730c331,,0,飞书的加急能让人心头一紧,,爱吃花椒的喵酱,0,0
e413f4f1-5415-459f-a116-6f541b21a502,,0,飞书真的好用吗？,,花香满径,1,0
3f7879f5-baab-479e-b4bc-e8662c1d7843,,0,飞书真的好用吗？,,"花香满径
...",1,0
526fad95-d22a-4c80-8e5c-bd655d302647,3f7879f5-baab-479e-b4bc-e8662c1d7843,1,好用，半夜还能开会,,魃職,0,0
0174f885-0c2b-45d9-84ad-0f9b3f04e081,,0,飞书真的好用吗？,,"花香满径
...",1,0
