cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
c1c7f165-6c2e-4d9b-a2b6-ce4788e658c8,,0,飞书是干什么用的呢,,用户8252893155777,4,0
2eb2ed9f-f648-4513-8eb6-e55a00526ec2,,0,飞书是干什么用的呢,,"用户8252893155777
...",4,0
f5335d1c-7337-46be-96b8-baea784529a6,2eb2ed9f-f648-4513-8eb6-e55a00526ec2,1,工作软件,,孤单听雨的猫,0,0
a5f86a44-7560-4f84-a76d-e1c31e96da32,,0,飞书是干什么用的呢,,"用户8252893155777
...",4,0
8a369f91-a985-402e-b901-53f3295878e2,a5f86a44-7560-4f84-a76d-e1c31e96da32,1,飞信,,好想谈恋爱,0,0
cfcb5db5-cbab-4364-b2d1-382a76f377cc,,0,马化腾因该把做腾讯企业微信负责人开了挖点飞书的人还有机会救一下这个赛道，要不就把飞书收购过来，公司换了飞书确实好用，但是客户不看飞书，又不能打通，天天两个软件来回切累死，这事企业微信负责人全责。,,NIC,1,0
8f123dbd-c974-4aa9-b4bc-170236d34fea,,0,飞书能取代什么,,雨露清晨,7,0
9f251865-c095-4c72-ad96-eba394e36fce,,0,飞书能取代什么,,"雨露清晨
...",7,0
83a3c87b-64e1-45d5-9c6a-61c60fbdcf19,9f251865-c095-4c72-ad96-eba394e36fce,1,顶多取代钉钉,,斩妄,5,0
ec4d1ed8-10de-4450-b383-11b167312ece,,0,飞书能取代什么,,"雨露清晨
...",7,0
2037fc5e-db37-4270-9a8b-6c8e02a53a67,ec4d1ed8-10de-4450-b383-11b167312ece,1,企业微信,,莲藕钻孔员,0,0
756fc842-2dc5-4f17-8fa0-ab5a9dccd04a,,0,在飞书带的豆包问飞书管理员会不会监控聊天记录什么水平,,A-天道酬勤,0,0
98c98b65-9a1a-44e3-85ea-d26bbf6fb3af,,0,不知道什么是飞书,,伟伟,0,0
51f6b285-89f8-4271-bd98-82dbebf000b1,,0,飞书电脑端怎么删除会议记录,,mirror,0,0
5fdd6c5e-afcc-408a-9011-2213828996b5,,0,飞书是什么作用啊？,,花瓣雨,5,0
12497e70-3344-4937-ae51-da112e0c6137,,0,飞书是什么作用啊？,,"花瓣雨
...",5,0
39b7389d-98cf-4291-a9d4-04296a566a12,12497e70-3344-4937-ae51-da112e0c6137,1,有解决光棍脱单的作用,,往事不再提,0,0
16038f37-fbb5-4688-8695-33f2f597be97,,0,飞书是什么作用啊？,,"花瓣雨
...",5,0
7e84527a-493d-4b2b-b49e-9a38740219b2,16038f37-fbb5-4688-8695-33f2f597be97,1,大概和飞机差不多吧,,高山,0,0
2a85e66c-742e-473f-b96f-6c6c4d305762,,0,飞书，我每天都要用的工具,,洛美,0,0
3f8c63ea-39a7-4725-9206-d1801d629f94,,0,飞书是不是和AI很像？,,59661552337,0,0
17423497-6963-43f8-99c8-81d4ce52b54d,,0,飞书是输入法么？,,随丰〔套猴子版〕,6,0
f6d0d311-bacc-4593-b4f0-3b5ac83f94ba,,0,飞书是输入法么？,,"随丰〔套猴子版〕
...",6,0
7bf85182-3f38-4dcc-9be0-bd6eb9ce6a7a,f6d0d311-bacc-4593-b4f0-3b5ac83f94ba,1,不是，飞书是一本哈利波特的那本魔法书，它能飞,,皓峰大叔,1,0
ee017789-0a8c-4797-9065-fd63e12ee129,,0,飞书是输入法么？,,"随丰〔套猴子版〕
...",6,0
059cfa14-71cb-4582-818b-acb6fad4d286,ee017789-0a8c-4797-9065-fd63e12ee129,1,办公软件,,二五一十,0,0
bfb292db-cc16-46c1-91ec-3209dba10e36,,0,飞书是一个让牛马自动化的工具。,,！！！~,223,0
639a4352-5874-43e6-9553-8af31d17d51e,,0,飞书是一个让牛马自动化的工具。,,"！！！~
...",223,0
3ebb0bbc-cbfa-4b42-a743-65642afc1bfe,639a4352-5874-43e6-9553-8af31d17d51e,1,散了散了,,冯奶宝,7,0
ff39ea1a-f6b5-4e5f-9821-6562b50f0ec3,,0,飞书是一个让牛马自动化的工具。,,"！！！~
...",223,0
2511e397-480b-4634-92fa-67d826b5cd57,ff39ea1a-f6b5-4e5f-9821-6562b50f0ec3,1,通俗易懂,,换乘,3,0
1aebb072-9f14-470b-ac0d-5b23f768a706,,0,飞书是一个让牛马自动化的工具。,,"！！！~
...",223,0
60b9f38f-a3e3-4d7d-b326-6e0cdf826e7a,1aebb072-9f14-470b-ac0d-5b23f768a706,1,真实,,华子,1,0
6da8730e-8ff9-4dad-982b-77a1ff382206,,0,飞书是一个让牛马自动化的工具。,,"！！！~
...",223,0
f76928f3-c68a-4449-9862-ab303680ab5b,6da8730e-8ff9-4dad-982b-77a1ff382206,1,,,白驹过隙,0,0
58493146-082b-46d9-8c69-4088a7b2386f,,0,飞书是办公软件，类似于office和WPS，只不过比他们更高级了一点,,ou利斯,0,0
6bce6173-495a-49fa-a487-18244c3d3a7a,,0,没看明白飞书是干什么的？,,心随舞动,12,0
a68bd9ce-566f-4631-b9ea-6aa10e439a89,,0,没看明白飞书是干什么的？,,"心随舞动
...",12,0
f57aaf47-83a9-4602-b569-8e4209d09c02,a68bd9ce-566f-4631-b9ea-6aa10e439a89,1,真正的老板 谁研究这个。。,,等不等（男）,1,0
d73d1047-3e22-46ef-9493-c40572e3494c,,0,没看明白飞书是干什么的？,,"心随舞动
...",12,0
4d9099c6-30e9-4a4c-9aee-cf01ec13ab31,d73d1047-3e22-46ef-9493-c40572e3494c,1,公司里要用,,就想睡个好觉,0,0
02ecb5af-7e6d-466d-a033-c90ee26f5457,,0,飞书是什么科普视频,,我去,0,0
6c506d52-648d-4ec7-bd04-d2f08c876a86,,0,飞书是什么软件,,梦之蓝,0,0
c183a0e3-6947-442b-bb28-1d78bab03aed,,0,飞书的加急能让人心头一紧,,爱吃花椒的喵酱,0,0
3f6670d6-7eeb-4ee9-a6e8-2d5a0cebd2fe,,0,飞书真的好用吗？,,花香满径,1,0
d94e69b8-332e-48d6-bf59-48549bd299d4,,0,飞书真的好用吗？,,"花香满径
...",1,0
4aa3db9a-29ed-4a5c-bc91-a7e390323afb,d94e69b8-332e-48d6-bf59-48549bd299d4,1,好用，半夜还能开会,,魃職,4,0
d21de277-6620-4f44-9666-33b76e288c05,,0,飞书真的好用吗？,,"花香满径
...",1,0
44508ec0-3d8f-41ae-9622-be74467c1968,d21de277-6620-4f44-9666-33b76e288c05,1,,,現在是 幻想時刻,0,0
177db265-dbeb-46e1-9639-ae3d963a90d3,,0,飞书是什么软件，花钱吗,,雾漫过山川,5,0
06916e50-b308-48d4-a44d-883cae994288,,0,飞书是什么软件，花钱吗,,"雾漫过山川
...",5,0
8dd7ef4b-e6f9-40bd-8fb1-7273c00ea10d,06916e50-b308-48d4-a44d-883cae994288,1,很多东西先期都不花钱 后期。。。,,简单简爱,0,0
886b0f09-7202-4010-9454-4437e5831388,,0,飞书是什么软件，花钱吗,,"雾漫过山川
...",5,0
039c81ff-dfac-44eb-b5f8-6b0b3c2419a3,886b0f09-7202-4010-9454-4437e5831388,1,疫情单位让在上面报体温计和身体症候,,石屹節公社首席藝術家冯小胖,0,0
7f3605a2-850f-44a0-b742-450fcd9e734b,,0,我也想问 飞书是干嘛的,,花生好吃,8,0
ed7b6162-480b-448b-8d84-ff840fa81ba2,,0,我也想问 飞书是干嘛的,,"花生好吃
...",8,0
2e25a56f-86b2-42d3-b4a3-51f1a648e1cc,ed7b6162-480b-448b-8d84-ff840fa81ba2,1,微信钉钉腾讯文档还有办公软件的结合体,,不迟,0,0
3c043175-0ecc-4ca5-a196-e04ac777f6ca,,0,我也想问 飞书是干嘛的,,"花生好吃
...",8,0
4808b9ff-b893-42f6-9527-eacde0f2ed41,3c043175-0ecc-4ca5-a196-e04ac777f6ca,1,办公的聊天软件。功能收费的。自己可以看到都有哪些人看了你的消息。已读不回不存在,,蓝心羽绒,0,0
a800a2e0-e16f-4525-8202-bfcdd93d5adc,,0,我也想问 飞书是干嘛的,,"花生好吃
...",8,0
f7c2e288-ef65-4dda-b22a-3888da131276,a800a2e0-e16f-4525-8202-bfcdd93d5adc,1,和钉钉差不多,,Jay,1,0
8b9d158e-4d94-43b8-9720-c132e7a5d0b0,,0,飞书是啥,,无副作用.,10,0
2d2c221e-1df6-4626-84ef-d875c42b9073,,0,飞书是啥抖音版的钉钉吗,,"无副作用.
...",10,0
523e923c-329a-4b05-bd07-b9be3e9ab08c,2d2c221e-1df6-4626-84ef-d875c42b9073,1,打工人的钉钉超级加强版,,佚名,1,0
79e0287c-968a-4108-ba15-7ec6c99089e6,,0,飞书是啥抖音版的钉钉吗,,"无副作用.
...",10,0
5b4b4d68-4787-4b27-abef-c61a6f94cbcd,79e0287c-968a-4108-ba15-7ec6c99089e6,1,,,屑屑你,0,0
86faaedd-1d9f-4e39-9e72-91d697194b56,,0,飞书是什么,,以琳,3,0
d1f87c3a-02db-4eee-9e67-d5fdc18986d5,,0,飞书是什么,,"以琳
...",3,0
047940eb-8ff8-4923-a437-edeea163fab0,d1f87c3a-02db-4eee-9e67-d5fdc18986d5,1,抖音的母公司，字节跳动自己出的一种员工微信，类似钉钉。牛马助手,,鹤plus,1,0
605e9cf2-f6cb-48f7-8390-a364614ccf9c,,0,飞书是什么,,"以琳
...",3,0
f2d3f8f4-6ca0-4c4b-bd2f-472ee9814a10,605e9cf2-f6cb-48f7-8390-a364614ccf9c,1,牛马自动化软件,,莆田壹号档口,0,0
787b1aa6-3180-4cd3-abfc-d8d5efd7cf43,,0,不错，干什么用的,,挽星,9,0
f39d7536-7917-4586-a642-aa0ddf57753a,,0,不错，干什么用的,,"挽星
...",9,0
a523c378-a40e-45ad-8ee3-4998418768ad,f39d7536-7917-4586-a642-aa0ddf57753a,1,牛马的紧箍咒,,相逢何必曾相识,0,0
5eb1b513-3ae0-48f1-993f-fe0ddf62e635,,0,不错，干什么用的,,"挽星
...",9,0
8cb9d2dc-423d-4312-945c-453d2c2e1816,5eb1b513-3ae0-48f1-993f-fe0ddf62e635,1,类似于钉钉,,@Yuuuuuuu,2,0
743f85cb-0cee-47d8-b563-9b879c0e35c3,,0,不错，干什么用的,,"挽星
...",9,0
4128963b-20b5-40b9-b349-cc86d4a7efac,743f85cb-0cee-47d8-b563-9b879c0e35c3,1,打工用的,,灯登等邓,0,0
c4138aa8-492b-4b18-99c8-d4e39ca7454e,,0,企业微信不行吗,,磊子,7,0
8bdd900b-2a66-4b44-af62-48a7a20a552c,,0,企业微信不行吗,,"磊子
...",7,0
1b4d110d-993d-48df-961a-32beaaba6dac,8bdd900b-2a66-4b44-af62-48a7a20a552c,1,两个一起用，企业微信用来发邮件,,JJ.,1,0
f6b3d225-9602-41a8-953a-7f88fefef9c9,,0,企业微信不行吗,,"磊子
...",7,0
fc31390a-02a5-4c2e-8f4d-336597b31833,f6b3d225-9602-41a8-953a-7f88fefef9c9,1,楼主比较专业，懂得多,,壹葉之秋,1,0
c0667d71-8e38-4e0d-9c29-cb8200ee800a,,0,企业微信不行吗,,"磊子
...",7,0
2f97b7eb-7962-4c83-bc9a-39133071038d,c0667d71-8e38-4e0d-9c29-cb8200ee800a,1,企业微信好用，但是贵。,,Movingstar,0,0
bdeee214-415c-4dca-a14b-fa065f3d5eea,,0,什么是飞书,,玄霜,2,0
61d8a102-c9ab-46ac-9a91-1479b95f9d95,,0,不懂就问：飞书是什么？？？,,~事事如意~,28,0
eca8b2ad-8c62-448b-81c8-710fe8cf88f7,,0,不懂就问：飞书是什么？？？,,"~事事如意~
...",28,0
f42f0e1b-cbe7-4ff1-a451-ab2bf5c4e446,eca8b2ad-8c62-448b-81c8-710fe8cf88f7,1,遇到正解了,,渐晚ག,0,0
36ecec79-b9e8-46b6-af00-1a977ce915b8,,0,不懂就问：飞书是什么？？？,,"~事事如意~
...",28,0
562cc900-ee8f-4ada-a5e7-0c932ae96ae7,36ecec79-b9e8-46b6-af00-1a977ce915b8,1,类似于钉钉,,一禅老和尚,1,0
ddf0c6b8-8d7b-4b92-9f91-094784862e77,,0,不懂就问：飞书是什么？？？,,"~事事如意~
...",28,0
ccb2e236-62c0-4869-833a-f96a6752a0d5,ddf0c6b8-8d7b-4b92-9f91-094784862e77,1,一个app,,林可,0,0
b5d2c2a2-80f0-4c91-a67c-cfa6aaebb672,,0,不懂就问：飞书是什么？？？,,"~事事如意~
...",28,0
cb3487ce-6fc2-4c4d-b6cc-e2e7e822accb,b5d2c2a2-80f0-4c91-a67c-cfa6aaebb672,1,办公软件,,芒 果 鲨,0,0
93c9775f-e467-4e38-af74-330da9532b7b,,0,怎么收费的？,,七星璨璨凝流光,0,0
5b89dc8e-e134-409b-89b7-5fa877b77c52,,0,飞书是干嘛用的,,憶,35,0
60e571ae-eeba-442f-93b9-93ba0f1d4771,,0,飞书是干嘛用的,,"憶
...",35,0
c3ba7eb4-584a-442c-a418-92fdd895ccfd,60e571ae-eeba-442f-93b9-93ba0f1d4771,1,便于老板管你的,,黎小明,1,0
a121b5e4-6067-4ba3-94bd-89e2875e2c9f,,0,飞书是干嘛用的,,"憶
...",35,0
a7747a8b-5d19-4e45-805f-8260c8ed60bd,a121b5e4-6067-4ba3-94bd-89e2875e2c9f,1,企业员工沟通也在用，我们公司就用的飞书,,我愛白,2,0
a04bc905-16a0-417c-a36b-44e6012fc5e1,,0,飞书是干嘛用的,,"憶
...",35,0
111695d0-97f6-4319-8ef1-5ac1e1110632,a04bc905-16a0-417c-a36b-44e6012fc5e1,1,领导监视你的,,保持热爱*奔赴山海,2,0
8d31c781-ed00-4c0a-8f8c-081a75842554,,0,飞书是干嘛用的,,"憶
...",35,0
ade08610-ceea-4f60-92b0-d1a59ae56c5e,8d31c781-ed00-4c0a-8f8c-081a75842554,1,你知道上班第一件事要干嘛吗,,阿定制,1,0
3e4278f6-9c73-48a3-83fe-dab6a74f2c4c,,0,飞书是干嘛用的,,"憶
...",35,0
be365404-5e53-40d3-a528-56bfd0d42894,3e4278f6-9c73-48a3-83fe-dab6a74f2c4c,1,字节的办公软件,,王祥,0,0
ed19c29f-42e6-41c0-a1a1-2b4c458f1862,,0,飞书是干嘛用的,,"憶
...",35,0
3a1858b4-f401-4d61-9b9c-4495488b032c,ed19c29f-42e6-41c0-a1a1-2b4c458f1862,1,从蛹破茧而出的瞬间，是撕掉一层皮的痛苦彻心彻肺很多蝴蝶都是在破茧而出的那一刻被痛得死掉了。,,路口等,0,0
6d8c3266-2fc2-44d7-a73c-cfaaa2a2d26d,,0,飞书是干嘛用的,,"憶
...",35,0
87d1b628-74d7-4ccc-bbca-2bf2facfca18,6d8c3266-2fc2-44d7-a73c-cfaaa2a2d26d,1,好吧,,憶,0,0
7776fecc-115d-4a22-bd20-680cfa4fd796,,0,飞书是干嘛用的,,"憶
...",35,0
208da6e6-0892-4166-8f89-9e418a88a272,7776fecc-115d-4a22-bd20-680cfa4fd796,1,跟钉钉差不多,,星河,3,0
423a7d9f-bc73-4739-8f25-03ea71bc495d,,0,我只有一个问题,,貓丶爺,31,0
3b17a15c-e75a-4cc3-85f4-c73aca7ceecc,,0,我只有一个问题飞书交不交苹果税,,"貓丶爺
...",31,0
dacc93c9-b08e-4c00-b383-40609264cac2,3b17a15c-e75a-4cc3-85f4-c73aca7ceecc,1,哈哈哈,,怷🫡,0,0
565652e6-eb14-4cb0-897e-9a08334f1658,,0,我只有一个问题飞书交不交苹果税,,"貓丶爺
...",31,0
67a8f97d-558e-4c92-9087-9e5ea52da86a,565652e6-eb14-4cb0-897e-9a08334f1658,1,安卓没税？鸿蒙没税？天真,,用户0650740921279,1,0
376be554-9b7a-40ba-9bed-4f9a44eafd06,,0,我只有一个问题飞书交不交苹果税,,"貓丶爺
...",31,0
3adfe5fc-2064-439d-bc9a-2c24c999a13b,376be554-9b7a-40ba-9bed-4f9a44eafd06,1,你倒是找给我看啊,,無冰凍檸愛好者,2,0
2fac69e7-d791-4479-838c-02c98f3cca2a,,0,我只有一个问题飞书交不交苹果税,,"貓丶爺
...",31,0
9188bea6-b593-443b-905b-e40dc4f5cbd7,2fac69e7-d791-4479-838c-02c98f3cca2a,1,,,暗物质甜甜圈∂♬,0,0
dae1ac4e-5fd5-4532-8889-f793fd90e8f2,,0,飞书是什么软件,,桔子柚,8,0
eb61efcd-10b5-4dab-90c2-4a17d82d35d8,,0,飞书是什么软件,,"桔子柚
...",8,0
e1c1c04a-c5c5-4022-a997-56a15f8e1b7a,eb61efcd-10b5-4dab-90c2-4a17d82d35d8,1,跟钉钉，企业微信差不多,,二五一十,0,0
a64a7f11-abff-47e6-9871-9a65f7d607bf,,0,飞书是什么软件,,"桔子柚
...",8,0
3265a723-ca7d-4a25-9bbf-0172932fdf8f,a64a7f11-abff-47e6-9871-9a65f7d607bf,1,工作软件,,二五一十,0,0
8ad238d6-45e8-4475-9c79-9ca5fa1297c0,,0,看完了没搞懂什么意思,,子遇十八,21,0
36bcc5ec-72e8-4e6f-af26-b6d77af7aa2f,,0,看完了没搞懂什么意思,,"子遇十八
...",21,0
fcac5fc9-7240-4c54-9a16-f88369d5ab01,36bcc5ec-72e8-4e6f-af26-b6d77af7aa2f,1,钉钉差不多,,天涯客、赤子心,0,0
8d99364a-0be2-441e-b948-f8146ae91633,,0,看完了没搞懂什么意思,,"子遇十八
...",21,0
a401801e-99e1-4b8c-bec6-8e4541953d13,8d99364a-0be2-441e-b948-f8146ae91633,1,俺也一样,,黯然烧鸭饭,0,0
ee5a57aa-f583-4aeb-b9cf-a2cb9d84391a,,0,看完了没搞懂什么意思,,"子遇十八
...",21,0
98efd47b-ed9d-4440-82da-6e986ec3d7c5,ee5a57aa-f583-4aeb-b9cf-a2cb9d84391a,1,先是大家一通吹，你好奇看看就明白了，,,李世阳,1,0
8c4d8141-c9fa-452a-a0fb-fc794017de6e,,0,看完了没搞懂什么意思,,"子遇十八
...",21,0
63492ed8-d970-48ab-a9db-bda6c5032bb5,8c4d8141-c9fa-452a-a0fb-fc794017de6e,1,,,天涯~,0,0
de0b7ba7-2942-460c-ac30-fcae24f75313,,0,飞书，适合小群体使用么？,,松鼠青年,53,0
957fc3a5-0091-4a78-be17-87018c2cbef4,,0,飞书，适合小群体使用么？,,"松鼠青年
...",53,0
7074ef93-42ec-4f32-846e-dc782431c704,957fc3a5-0091-4a78-be17-87018c2cbef4,1,坏了 懂了,,爱吃包菜、（想玩洛克王国抽不到资格发疯）,1,0
82e03527-9b9d-4ad1-815b-d59141510fce,,0,飞书，适合小群体使用么？,,"松鼠青年
...",53,0
23f70bd3-6943-435c-a72f-6d85697acb3e,82e03527-9b9d-4ad1-815b-d59141510fce,1,用的少就合适,,石金水,0,0
7043c52b-7256-4efe-bdb3-93e032151930,,0,飞书，适合小群体使用么？,,"松鼠青年
...",53,0
b322f8bf-dd95-4c0f-8377-1b3c5242f40e,7043c52b-7256-4efe-bdb3-93e032151930,1,不适合，适合在商场工作的员工用的，比如我刚从沃尔玛兼职了两个月,,茶色眸,2,0
f96b577d-d381-4735-9053-bd758615b8a3,,0,飞书，适合小群体使用么？,,"松鼠青年
...",53,0
ad48e8ee-479e-4a0c-b90a-3afa0c2dc747,f96b577d-d381-4735-9053-bd758615b8a3,1,。,,152上班换钱上班了,0,0
2d538aaf-eef9-47cd-8bdb-9e789394b3b6,,0,飞书，适合小群体使用么？,,"松鼠青年
...",53,0
de6ee5ea-a9f3-475b-a287-4c827a11759f,2d538aaf-eef9-47cd-8bdb-9e789394b3b6,1,,,用户898888085475,0,0
2790083a-18dd-4ce5-8d42-52c0fd498583,,0,飞书，适合小群体使用么？,,"松鼠青年
...",53,0
c1427228-5bf2-4ab6-8361-9be6c638745b,2790083a-18dd-4ce5-8d42-52c0fd498583,1,打个电话拉个群视频不如微信直来直去，这个更适合复杂人多工作要分清楚的公司,,愧不fou,2,0
8dd39bf7-db2d-4c16-9534-2e58fcdf39ed,,0,飞书真的很难用,,小燕燕,0,0
686b6bc4-8b14-4cbe-878b-1837d9e7c2db,,0,到底是干啥用的呢,,园园,4,0
278fce44-7468-4ba4-90b9-4b4a73fd271b,,0,到底是干啥用的呢,,"园园
...",4,0
4298ac28-7529-4de6-8032-eda2cc228f9c,278fce44-7468-4ba4-90b9-4b4a73fd271b,1,这个是企业员工聊天软件，所有人可以一起聊天,,MAMAT,0,0
ec53e5c9-62d4-419e-b60a-6ffe5651e9d1,,0,到底是干啥用的呢,,"园园
...",4,0
78d29413-58a2-4e0f-a068-b3acff8154af,ec53e5c9-62d4-419e-b60a-6ffe5651e9d1,1,正经人谁一下班还和同事聊天,,雄性激素旺盛,2,0
15bd1b99-d594-47dd-81a3-67daa51f6748,,0,到底是干啥用的呢,,"园园
...",4,0
9209976b-98a4-4ce1-843a-237e65d94ab3,15bd1b99-d594-47dd-81a3-67daa51f6748,1,你可以不聊，但是老板让你聊你聊不聊,,MAMAT,0,0
7f0e3f1a-1ed0-4002-af5d-c09b6e09aab9,,0,到底是干啥用的呢,,"园园
...",4,0
13757fd8-6374-4443-a60e-12d6894ecaff,7f0e3f1a-1ed0-4002-af5d-c09b6e09aab9,1,不知道啊,,Fovever｀,0,0
a8650f66-fd71-42fa-bdf3-75f61f41e9ab,,0,到底是干啥用的呢,,"园园
...",4,0
a4090964-ac96-4754-88fd-e7123e3f9f8d,a8650f66-fd71-42fa-bdf3-75f61f41e9ab,1,,,滞空,0,0
d4c44be3-4af8-4954-8026-0cff795fc15c,,0,飞书是什么,,顺其自然,1,0
1a852f19-8f1c-40f2-b15a-8162585db210,,0,飞书是做什么的，怎么用,,周周短剧场,1,0
2a4ac2a4-6c11-497c-b8b8-5ca1190445af,,0,感觉飞书的程序员都好优秀啊，很多功能是其他小公司实现不了的，或者说是他们懒得做,,日落就像荷包蛋,21,0
0ed24e43-1479-418a-9a0a-7ebff6122288,,0,感觉飞书的程序员都好优秀啊，很多功能是其他小公司实现不了的，或者说是他们懒得做,,"日落就像荷包蛋
...",21,0
834e8604-2c6d-4883-b93d-1010e7cfbcdb,0ed24e43-1479-418a-9a0a-7ebff6122288,1,飞书之前成员1000人，别的公司大部分只有3/1以下，虽然现在裁了很多,,点头yes摇头no,1,0
9f950ad2-f583-4dfd-b2b6-4ea6794d20bd,,0,感觉飞书的程序员都好优秀啊，很多功能是其他小公司实现不了的，或者说是他们懒得做,,"日落就像荷包蛋
...",21,0
13007f5a-0494-484f-84c5-3743069ce905,9f950ad2-f583-4dfd-b2b6-4ea6794d20bd,1,和人数无关，就是里面那个图表功能，很多程序员就搞不定,,日落就像荷包蛋,0,0
19ea1f0d-588a-4b2f-8a06-44be8a013cb2,,0,收费不,,网友,17,0
be07925d-9e46-47ba-9847-a189bb8b702c,,0,收费不,,"网友
...",17,0
638c93a3-927c-4905-b117-eb870d1aaaa4,be07925d-9e46-47ba-9847-a189bb8b702c,1,朝 b 端收费,,￴￴ ￴￴ ￴￴ ￴￴￴ ￴￴ ￴,1,0
d996ef56-5196-47b9-8d09-2102e5380a08,,0,收费不,,"网友
...",17,0
628f30c2-08b2-4f1b-958d-3e2818bb2742,d996ef56-5196-47b9-8d09-2102e5380a08,1,,,大美女,0,0
b863c245-0acd-4dc0-93ee-ee90b40a1b36,,0,收费不,,"网友
...",17,0
182fbc36-be85-4524-987f-3b9d5d3bd8ca,b863c245-0acd-4dc0-93ee-ee90b40a1b36,1,免费,,Cunese,0,0
659d4f9e-1cdf-45f2-a720-165fba4c6a43,,0,会取代微信吗,,35140055187,8,0
57bc173d-6edb-45f7-a5aa-a9f01b485d65,,0,会取代微信吗,,"35140055187
...",8,0
e3173ab0-c0c4-4be3-8156-fcb9807b3e43,57bc173d-6edb-45f7-a5aa-a9f01b485d65,1,先把已读和加急删了再说,,胖大大大大大大大大大大大大大大大大大大星,3,0
829109af-a2bf-42d3-ac1d-08dc7bbc091d,,0,会取代微信吗,,"35140055187
...",8,0
14427066-1f90-4603-9525-6b6166791fd4,829109af-a2bf-42d3-ac1d-08dc7bbc091d,1,这是工作上班用的,,ɪᴅᴇᴀʟᴊᴀɴ,1,0
cba7f412-7388-448f-9ea0-6355ad9b3fd6,,0,会取代微信吗,,"35140055187
...",8,0
f5c7e813-a82b-45a6-8614-bd97c69a51e8,cba7f412-7388-448f-9ea0-6355ad9b3fd6,1,想什么呢,,天听亭,1,0
