cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
ef8c9c0b-4a51-4076-833c-fa65ea3c45e5,,0,飞书是干什么用的呢,,用户8252893155777,4,0
460943cd-a1ca-4b8a-b13a-ae4ba75fa687,,0,飞书是干什么用的呢,,"用户8252893155777
...",4,0
1c690848-8455-4a43-aa43-b66db40e41a4,460943cd-a1ca-4b8a-b13a-ae4ba75fa687,1,工作软件,,孤单听雨的猫,0,0
3434b3cf-2b03-4071-b5c8-35a2f2f6e182,,0,飞书是干什么用的呢,,"用户8252893155777
...",4,0
396c77f9-19e4-4dbe-92a5-4e22710b8417,3434b3cf-2b03-4071-b5c8-35a2f2f6e182,1,飞信,,好想谈恋爱,0,0
412b4e16-17ae-409a-a8bf-46f4e13990d7,,0,马化腾因该把做腾讯企业微信负责人开了挖点飞书的人还有机会救一下这个赛道，要不就把飞书收购过来，公司换了飞书确实好用，但是客户不看飞书，又不能打通，天天两个软件来回切累死，这事企业微信负责人全责。,,NIC,1,0
bd2f19ed-89ee-4823-bdca-03c62f75c0e0,,0,飞书能取代什么,,雨露清晨,7,0
4f420021-6719-41f4-9bfb-59eb3e55feae,,0,飞书能取代什么,,"雨露清晨
...",7,0
72d3982f-6115-43dd-b64c-2122a7c183f9,4f420021-6719-41f4-9bfb-59eb3e55feae,1,顶多取代钉钉,,斩妄,5,0
83615a3c-8390-47ad-bfd3-d34a4feb1aa2,,0,飞书能取代什么,,"雨露清晨
...",7,0
11cedad0-871f-4168-a8dd-688118d43c5e,83615a3c-8390-47ad-bfd3-d34a4feb1aa2,1,企业微信,,莲藕钻孔员,0,0
10d3d3ee-461b-47ba-add8-7e85f3d1830d,,0,在飞书带的豆包问飞书管理员会不会监控聊天记录什么水平,,A-天道酬勤,0,0
1458310a-077c-43b1-93d1-83e6801b08df,,0,不知道什么是飞书,,伟伟,0,0
b41b97be-0928-4555-a06d-6da97cbf930d,,0,飞书电脑端怎么删除会议记录,,mirror,0,0
