cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
c94c7390-564c-4bd1-abab-5e553c6e01a7,,0,最近学校又开展消防演练了,2025-11-05 08:45:19,用户301,133,0
50111a51-ad5a-4a76-bdc6-6b579f6176c6,c94c7390-564c-4bd1-abab-5e553c6e01a7,1,演练虽然吵但很有必要,2025-11-05 08:59:42,用户E301,31,0
126062be-b25d-43b5-b96e-a00fcb2a0c5a,,0,宿舍要注意用电安全啊,2025-11-05 09:23:44,用户302,148,0
e1ff91e2-4e0f-4130-ba6c-41785d02492b,126062be-b25d-43b5-b96e-a00fcb2a0c5a,1,电热水壶千万别私拉插线板,2025-11-05 09:37:28,用户E302,35,0
eade9056-40a8-4729-b9af-2803eed9bdd1,,0,今天看到有人骑电动车闯红灯,2025-11-05 10:08:20,用户303,97,0
65d7a4be-d0df-414f-82d7-5ef6129ab272,eade9056-40a8-4729-b9af-2803eed9bdd1,1,太危险了，差点出事,2025-11-05 10:23:10,用户E303,26,0
cefa07d2-b05f-4e93-8946-a40e7f519c44,,0,网络诈骗电话真的太多,2025-11-05 11:14:29,用户304,176,0
8dd01e6b-f63f-411e-8b37-f9b6ca908dfc,cefa07d2-b05f-4e93-8946-a40e7f519c44,1,一定要核实来源再转账,2025-11-05 11:28:41,用户E304,48,0
a56b1b43-7e0b-45d3-b8ae-1cd519581ab4,,0,小区门口装摄像头挺好的,2025-11-05 12:06:54,用户305,119,0
addcc9f3-8c9b-42ba-bc1f-f89a14cd7296,,0,消防通道别乱停车啊,2025-11-05 13:12:31,用户306,164,0
59e01440-a1e1-4215-a9bb-0b7d279462a4,addcc9f3-8c9b-42ba-bc1f-f89a14cd7296,1,真遇到火灾就完了,2025-11-05 13:26:18,用户E306,41,0
3ac711fe-99dc-454f-80e3-345db8c3fb59,,0,学校门口的交通灯坏了几天了,2025-11-05 14:20:42,用户307,103,0
5bc84afa-4eab-4a8a-8341-adf2986b61fe,3ac711fe-99dc-454f-80e3-345db8c3fb59,1,希望早点修好,2025-11-05 14:35:10,用户E307,28,0
9411271b-96c3-4dfd-bc47-d6d287344423,,0,今天宿舍楼有人抽烟被通报,2025-11-05 15:08:55,用户308,122,0
c7ae0b10-0d9d-45c4-b96e-73ef7b328db0,9411271b-96c3-4dfd-bc47-d6d287344423,1,禁烟令不是摆设,2025-11-05 15:23:30,用户E308,33,0
032ed9bc-ddc6-4edf-ae66-ecaae3d43e39,,0,冬天取暖千万注意安全,2025-11-05 16:03:26,用户309,109,0
303affb6-28c3-4d82-8e63-5fe368d5cd33,032ed9bc-ddc6-4edf-ae66-ecaae3d43e39,1,电热毯别开太久,2025-11-05 16:19:04,用户E309,29,0
eab68322-c6b1-4a4c-bc69-41f9f2d703dc,,0,今天学校安全讲座挺实用,2025-11-05 17:12:47,用户310,143,0
ed3c7bd3-b6e0-43f4-a4a4-2e832f0f81d3,eab68322-c6b1-4a4c-bc69-41f9f2d703dc,1,那个防骗视频太真实,2025-11-05 17:26:11,用户E310,36,0
8e53c6cd-7ad5-4685-9b10-69102f5f0468,,0,晚上回宿舍记得结伴走,2025-11-05 18:10:55,用户311,132,0
dfe51b85-c6a2-4f86-9e7f-91a135a7d9c2,8e53c6cd-7ad5-4685-9b10-69102f5f0468,1,校园灯有的太暗了,2025-11-05 18:25:39,用户E311,32,0
988350f8-74d2-4d52-9015-1baacfcd8c78,,0,宿舍楼楼梯太滑了,2025-11-05 19:18:36,用户312,95,0
1f3a214b-a8ea-4ee0-9be7-9d2dd8ce1c51,988350f8-74d2-4d52-9015-1baacfcd8c78,1,上次有人摔了一跤,2025-11-05 19:31:22,用户E312,23,0
c661bcd7-bd77-4f1f-b686-82b4f58f6c00,,0,最近网络钓鱼邮件特别多,2025-11-05 20:22:51,用户313,121,0
fc0a7c60-bdeb-4bd1-a353-16c4e8d87bb0,c661bcd7-bd77-4f1f-b686-82b4f58f6c00,1,邮件附件千万别乱点,2025-11-05 20:38:30,用户E313,28,0
444867cc-8f22-47d8-9fc1-06514a09f0cc,,0,学校新装的监控很高清,2025-11-05 21:05:08,用户314,116,0
c1b892c4-c215-4cb5-9f44-c8aa721c7e13,,0,消防宣传周的活动挺有趣,2025-11-06 08:40:25,用户315,128,0
4545fba1-7006-4737-9ba0-27b46000d3c7,c1b892c4-c215-4cb5-9f44-c8aa721c7e13,1,模拟逃生那环节很真实,2025-11-06 08:54:52,用户E315,31,0
b7c394f4-00ef-4b93-990e-7fb8e8e345b2,,0,有人冒充老师要资料，小心骗子,2025-11-06 09:15:33,用户316,139,0
544e5fa2-b203-499c-af97-730d84afc395,b7c394f4-00ef-4b93-990e-7fb8e8e345b2,1,别轻信微信群私信,2025-11-06 09:30:40,用户E316,34,0
3eaecd07-e5dd-41e7-8145-69ccadbbe539,,0,宿舍楼的灭火器被人乱动了,2025-11-06 10:05:49,用户317,111,0
645e18f0-e778-4176-ae19-370847b7c805,3eaecd07-e5dd-41e7-8145-69ccadbbe539,1,真出事就麻烦了,2025-11-06 10:20:27,用户E317,26,0
8bb4e778-f725-4f69-90ce-305dbc6b6856,,0,刚才看到有外卖骑手逆行,2025-11-06 11:02:16,用户318,101,0
44156b9f-511a-44f7-aa3c-ab55a92c9204,8bb4e778-f725-4f69-90ce-305dbc6b6856,1,为了赶时间太危险,2025-11-06 11:15:38,用户E318,25,0
fa77424c-8e81-4421-b6be-ebde37dfb33e,,0,地震逃生演练还挺有意思,2025-11-06 12:08:41,用户319,144,0
33ee89b5-9abc-4c37-9ebc-10990ac1dc1a,fa77424c-8e81-4421-b6be-ebde37dfb33e,1,现场警报声吓一跳,2025-11-06 12:21:57,用户E319,37,0
dfba941f-bb13-43f4-8576-e6b2e43cde61,,0,最近听说有人丢电动车,2025-11-06 13:12:53,用户320,107,0
419ff56c-3847-4590-9ce6-ef0c6f2bd77c,dfba941f-bb13-43f4-8576-e6b2e43cde61,1,停车记得锁双重锁,2025-11-06 13:26:25,用户E320,28,0
