cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
6c54ff3f-b8b5-4b10-b38a-416a74edd52f,,0,重庆夜景真的太震撼了,2025-11-09 08:32:18,用户361,208,0
02404bc4-b375-41e8-8736-8276793d6dfb,6c54ff3f-b8b5-4b10-b38a-416a74edd52f,1,洪崖洞实景比照片还美,2025-11-09 08:47:52,用户H361,53,0
dfb1537e-a2a7-44da-b3f5-18a5e65f2408,,0,三亚的海风太舒服了,2025-11-09 09:20:45,用户362,189,0
f14446e7-3c2f-4e73-a4b9-05c1fcbb3ab9,dfb1537e-a2a7-44da-b3f5-18a5e65f2408,1,一去就不想回,2025-11-09 09:35:11,用户H362,46,0
60f6b3c0-581c-4cc4-86e8-ab847dffac25,,0,成都的小吃街太香了,2025-11-09 10:15:59,用户363,175,0
c1a766c4-5875-4a70-928e-02ab6b23baa1,60f6b3c0-581c-4cc4-86e8-ab847dffac25,1,钵钵鸡+冰粉绝配,2025-11-09 10:30:06,用户H363,43,0
745b62ad-5feb-41cd-8b25-02575d822e71,,0,西安的古城墙太壮观,2025-11-09 11:08:30,用户364,142,0
21198d8c-4b10-4d1d-a5ac-4986744ca509,745b62ad-5feb-41cd-8b25-02575d822e71,1,夜骑太有氛围感,2025-11-09 11:23:19,用户H364,35,0
b34b1823-6b3b-4b73-bb0c-af6de56926b7,,0,民宿老板超热情,2025-11-09 12:10:52,用户365,119,0
e8855c43-0ee7-4be6-89d1-0c5a81fd1cf1,,0,丽江的晚霞太浪漫了,2025-11-09 13:03:14,用户366,167,0
a7f50f77-77cf-46d2-8663-802f53676f48,e8855c43-0ee7-4be6-89d1-0c5a81fd1cf1,1,真的像油画一样,2025-11-09 13:18:49,用户H366,39,0
df3682c1-feef-4580-a1ce-0a7bac3724a9,,0,旅行的意义就是出发,2025-11-09 14:06:30,用户367,132,0
45db373c-94e8-49bb-9782-e03c3ade8718,df3682c1-feef-4580-a1ce-0a7bac3724a9,1,也是重启生活,2025-11-09 14:19:28,用户H367,32,0
2b13d622-57ab-4794-91b7-c2c5e24ed3be,,0,火车旅行太有感觉了,2025-11-09 15:12:11,用户368,128,0
b859747b-b186-4974-ae24-e3fcdddd7c1c,2b13d622-57ab-4794-91b7-c2c5e24ed3be,1,慢一点也挺好,2025-11-09 15:26:43,用户H368,30,0
a3f686b8-3aee-4aae-b229-a7033ada3e2f,,0,桂林山水真不愧天下第一,2025-11-09 16:20:03,用户369,151,0
5d7032a4-3552-4561-a439-37a67769206f,a3f686b8-3aee-4aae-b229-a7033ada3e2f,1,每个角度都像画,2025-11-09 16:33:55,用户H369,37,0
f0d6b6a8-d1a4-4843-9277-aba244b6e82f,,0,一到北京就被堵在路上,2025-11-09 17:09:48,用户370,101,0
57420afc-511d-48a8-b410-d40907bf7650,f0d6b6a8-d1a4-4843-9277-aba244b6e82f,1,地铁才是真香,2025-11-09 17:22:40,用户H370,24,0
4fbc0850-6127-4f5f-b67a-d8bc86bbbfdb,,0,南京的秋天太有味道,2025-11-09 18:14:56,用户371,146,0
38eeb723-6033-43bd-83c4-18a1ed6af970,,0,旅行中最美的是遇见人,2025-11-09 19:10:39,用户372,134,0
f749be64-90ff-4467-bd8f-e144de2d805b,38eeb723-6033-43bd-83c4-18a1ed6af970,1,有人让风景更美,2025-11-09 19:24:23,用户H372,31,0
5f5bca34-3575-4f5c-95fa-e45d51b66fe6,,0,每次出行都能治愈自己,2025-11-09 20:02:48,用户373,157,0
af4d26f7-60a9-4c0d-b122-7f7fde19e115,5f5bca34-3575-4f5c-95fa-e45d51b66fe6,1,离开城市才想起自己,2025-11-09 20:18:12,用户H373,41,0
d03aed03-a310-44f4-b51c-38df4b68b45b,,0,云南的蓝天太干净,2025-11-09 21:12:05,用户374,166,0
f21f8eec-0e11-433b-93d2-2c84ae426eaf,d03aed03-a310-44f4-b51c-38df4b68b45b,1,空气里都有甜味,2025-11-09 21:27:19,用户H374,42,0
