cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
fc5a1702-067e-4f8b-8dfb-5d4d2f319112,,0,又到了早八赶去教室的季节,2025-11-01 08:35:44,用户251,145,0
4ba06caf-d49a-4dbb-b3aa-0e2769c92d3e,fc5a1702-067e-4f8b-8dfb-5d4d2f319112,1,一路狂奔才没迟到,2025-11-01 08:49:32,用户D251,37,0
efba6a1c-5079-411b-87fa-a70e170fb093,,0,图书馆一早就坐满了,2025-11-01 09:11:58,用户252,118,0
3ccb676a-2c2e-4249-854e-4885dea85a3b,efba6a1c-5079-411b-87fa-a70e170fb093,1,考研人太卷了,2025-11-01 09:28:45,用户D252,29,0
c2d9d7a9-aff7-4943-b3ed-e414faa6104a,,0,校园的银杏叶又黄了,2025-11-01 10:05:27,用户253,164,0
c0a7b091-e135-40bd-8162-d34996fbfea1,c2d9d7a9-aff7-4943-b3ed-e414faa6104a,1,每年都像一幅画,2025-11-01 10:19:56,用户D253,42,0
2514f2da-2ef7-4b4b-99de-6bf12bd11a34,,0,食堂的麻辣香锅变贵了,2025-11-01 11:08:42,用户254,91,0
876fc157-61ee-4aa9-be80-72d71fc5c786,,0,宿舍楼下那只猫还在,2025-11-01 12:20:09,用户255,133,0
8ded538c-9913-4498-b125-1305b6f9b0cb,876fc157-61ee-4aa9-be80-72d71fc5c786,1,它是我们的楼长哈哈,2025-11-01 12:35:50,用户D255,33,0
cb5e669a-1573-4af1-a4c7-d49bb09c559f,,0,今天操场风超大,2025-11-01 13:14:22,用户256,97,0
b7c031d6-eb7d-4678-85a9-b2e9ad7ae060,cb5e669a-1573-4af1-a4c7-d49bb09c559f,1,篮球都被吹跑了,2025-11-01 13:29:44,用户D256,26,0
aeba9ada-f1d9-421e-b3d2-701bc93e9074,,0,大学四年过得太快了,2025-11-01 14:09:18,用户257,178,0
983671ba-a6fd-4c8c-a72d-aeeb769ac823,aeba9ada-f1d9-421e-b3d2-701bc93e9074,1,还没来得及认真生活,2025-11-01 14:23:59,用户D257,49,0
47ada39f-ab84-4400-a5aa-3b5498f14285,,0,宿舍又停电了,2025-11-01 15:06:41,用户258,84,0
37ceb2d8-c1ca-49a9-b419-6a7baf01a79f,47ada39f-ab84-4400-a5aa-3b5498f14285,1,夏天最怕这件事,2025-11-01 15:20:52,用户D258,23,0
f8704bb4-6fbc-4bc0-9d12-a96a2dfbea84,,0,校园广播又在放老歌,2025-11-01 16:00:58,用户259,129,0
2fb71763-ad42-46c8-9f4a-3a6d778d02ed,,0,期中考试压力山大,2025-11-01 16:45:37,用户260,141,0
46536cf5-8849-48a0-9d0c-f91706e19b00,2fb71763-ad42-46c8-9f4a-3a6d778d02ed,1,图书馆一座难求,2025-11-01 16:59:28,用户D260,35,0
e139e2e2-d911-4cde-95ff-46d97335872b,,0,晚上在操场散步真舒服,2025-11-01 17:33:26,用户261,120,0
fb79fb2a-dd1b-4110-a4e1-bd1a54ea4424,e139e2e2-d911-4cde-95ff-46d97335872b,1,有风有歌的味道,2025-11-01 17:47:12,用户D261,31,0
4b030a71-d419-44f4-9e4c-957cc69d3d6c,,0,社团纳新太热闹了,2025-11-01 18:18:13,用户262,106,0
d4d7dd8f-87ca-4473-b2a5-150f8dedad5a,4b030a71-d419-44f4-9e4c-957cc69d3d6c,1,到处都是拉人入伙的摊位,2025-11-01 18:31:40,用户D262,28,0
c0bdc1c1-37af-46c4-98b2-790137e77b8d,,0,校园晚会灯光太美了,2025-11-01 19:10:44,用户263,157,0
accd93f1-e9f2-4507-94e6-74d2ed8e3229,c0bdc1c1-37af-46c4-98b2-790137e77b8d,1,主持人还挺有梗,2025-11-01 19:26:52,用户D263,39,0
056524ac-bae8-4c95-809d-097cf87a3b0e,,0,今天的课简直天书,2025-11-01 20:15:55,用户264,93,0
1a71cc46-f93c-4e9e-81ef-f72a536af309,056524ac-bae8-4c95-809d-097cf87a3b0e,1,老师讲的太抽象,2025-11-01 20:31:49,用户D264,22,0
