cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
74e5381e-bafe-4826-8e02-fac34093c19a,,0,你们目前在使用哪款办公软件呢？,,人类行为设计师-小周,64,0
cf719940-da0d-43fd-a92f-41bcbc930893,,0,眼睁睁看着飞书从公测做到今天这种水平！字节的研发设计真的厉害,,基德李叫我王老八,59,0
ae747a5b-d2d3-4ab7-8d19-f63b9bf5efe1,,0,有人做多维表格吗？付费。,,方子,0,0
5df7e478-79d4-4592-ad99-2be5be15d3d8,,0,收费呀 有些功能不能用,,华仔,2,0
a5bbc58c-df6c-4dad-9f5e-75ec42c53228,,0,收费呀 有些功能不能用,,"华仔
...",2,0
3efc17b1-92c2-49e8-82c9-e7fe98e07f1d,a5bbc58c-df6c-4dad-9f5e-75ec42c53228,1,大部分功能都是免费的啊,,人类行为设计师-小周,0,0
bf1659d7-2597-4438-a9cb-6eff93f60bd4,,0,一个工作，又微信，又企业微信，又钉钉，又飞书,,ning,320,0
463663a1-ed86-430b-805f-31cf871a8eb6,,0,用deepseek一会就提出字段额度用完，怎么办？,,linda,0,0
823eb9b8-acc7-48e4-8dcf-5b3936ad6eaa,,0,"不是哥们,你怎么啥都会,我们公司新媒体运营都没懂的多.",,摄像师Tony,16,0
43bb5398-11ab-4e2a-aa8a-e040ca661bdd,,0,我觉得你在做飞书广告,,胡同,4,0
33b07223-b3f2-4300-9598-02ad53cbec61,,0,请问管理BGM类的用什么软件呢,,Augustine,1,0
650dfbe1-4f36-4c96-b61c-1c768b733cb8,,0,其实做抖音很简单，开着公司的账号没事在评论区转转，别人经常看到我，自然会好奇我是做什么的牛马,,重生之我在宜宾做财税,2,0
c164455f-faaa-4e72-a26f-c9e361e72f6a,,0,求助大神！！！我飞书制作了一个二维码填表，想设置提交时间必须在扫码15分钟以后，这个怎么弄？,,晨,0,0
2e376bab-63f4-46ca-ace3-fde80b2eeb4d,,0,飞书多维表格里的，配置-自定义要求，怎么也找不，怎么才能找到啊，请教大神,,印记,0,0
ff018da7-9cd4-49cf-b41f-6af1494c452f,,0,用deepseek一会就提出字段额度用完，怎么办？,,linda,0,0
4b4b92ad-7f5f-4f78-b465-37a9afb58103,,0,为什么我找不到这个自定义要求,,毛影脚,0,0
6ba78e00-4361-4cb1-a47b-6d3b81f87e00,,0,你好，飞书员工打卡设置时间怎么设置,,Y温暖的·小太阳,0,0
