cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
4400f467-4ad3-47d3-aafa-a6456387a386,,0,飞书是干什么用的呢,,用户8252893155777,4,0
beedf7d5-cd2a-40ca-b2af-776093a01d5a,,0,飞书是干什么用的呢,,"用户8252893155777
...",4,0
7ae63c1f-6383-4122-81d1-fe91916427c4,beedf7d5-cd2a-40ca-b2af-776093a01d5a,1,工作软件,,孤单听雨的猫,0,0
36cefe70-31e6-4956-9d9a-fc9ee2176693,,0,飞书是干什么用的呢,,"用户8252893155777
...",4,0
80d39aaa-7811-4473-94e1-6324066d8f13,36cefe70-31e6-4956-9d9a-fc9ee2176693,1,飞信,,好想谈恋爱,0,0
5219476d-c8db-455a-80c2-c90a60d1951c,,0,马化腾因该把做腾讯企业微信负责人开了挖点飞书的人还有机会救一下这个赛道，要不就把飞书收购过来，公司换了飞书确实好用，但是客户不看飞书，又不能打通，天天两个软件来回切累死，这事企业微信负责人全责。,,NIC,1,0
a3bc2620-7ba4-46a6-8be1-9014984bf86d,,0,飞书能取代什么,,雨露清晨,7,0
32bf0af4-3ad8-4542-8642-043c11e64701,,0,飞书能取代什么,,"雨露清晨
...",7,0
f646a02c-af12-4476-a6c5-227bb71a6f0c,32bf0af4-3ad8-4542-8642-043c11e64701,1,顶多取代钉钉,,斩妄,5,0
68a1b1f7-dbc6-43d9-b619-77188f5f0d7e,,0,飞书能取代什么,,"雨露清晨
...",7,0
cf29eaf2-bb7a-449a-8c7c-fbe78363c625,68a1b1f7-dbc6-43d9-b619-77188f5f0d7e,1,企业微信,,莲藕钻孔员,0,0
1d903ca9-e984-4e6d-9363-67839f12ca69,,0,在飞书带的豆包问飞书管理员会不会监控聊天记录什么水平,,A-天道酬勤,0,0
1dead816-a290-453c-821a-160a5e4d870d,,0,不知道什么是飞书,,伟伟,0,0
3cb5dbba-e8d9-4b8b-a149-bd6270cbdbc7,,0,飞书电脑端怎么删除会议记录,,mirror,0,0
ee99509a-b538-449b-9604-98e76ba3e8b2,,0,飞书是什么作用啊？,,花瓣雨,5,0
e67bce55-7a26-49b0-8e00-ececb85d90db,,0,飞书是什么作用啊？,,"花瓣雨
...",5,0
bcc1f90d-3bc0-4329-97bc-3b21259c8839,e67bce55-7a26-49b0-8e00-ececb85d90db,1,有解决光棍脱单的作用,,往事不再提,0,0
98bf0f49-bbaa-4835-b5d4-3b97d8ccd8cc,,0,飞书是什么作用啊？,,"花瓣雨
...",5,0
bc5b1bda-ce45-4a23-a640-c56942aacdde,98bf0f49-bbaa-4835-b5d4-3b97d8ccd8cc,1,大概和飞机差不多吧,,高山,0,0
03da1cde-d0fb-4cf1-8ffe-8c4ba7d6a179,,0,飞书，我每天都要用的工具,,洛美,0,0
5e2eff7d-f243-48be-af1b-defb1fc2b0f0,,0,飞书是不是和AI很像？,,59661552337,0,0
97ce3c60-c5e3-42c4-a3bc-0ba31cc71a24,,0,飞书是输入法么？,,随丰〔套猴子版〕,6,0
e4fe0699-0d8c-45a7-bf27-70064de25ba8,,0,飞书是输入法么？,,"随丰〔套猴子版〕
...",6,0
6dcef559-af21-49e5-8353-bef5c073476a,e4fe0699-0d8c-45a7-bf27-70064de25ba8,1,不是，飞书是一本哈利波特的那本魔法书，它能飞,,皓峰大叔,1,0
26e77178-4648-4f36-8ffe-889353399533,,0,飞书是输入法么？,,"随丰〔套猴子版〕
...",6,0
c1b2fa68-1efb-4b5b-a8aa-e28a348595df,26e77178-4648-4f36-8ffe-889353399533,1,办公软件,,二五一十,0,0
63de9331-efa6-44bb-9aa2-ba71b26a8770,,0,飞书是一个让牛马自动化的工具。,,！！！~,223,0
7d4a198d-a773-4bfb-bba2-ea41d015b035,,0,飞书是一个让牛马自动化的工具。,,"！！！~
...",223,0
8c9c733a-4d39-446b-9883-2061324c6d59,7d4a198d-a773-4bfb-bba2-ea41d015b035,1,散了散了,,冯奶宝,7,0
019f9b88-2e69-491c-b7ab-ebde8526b808,,0,飞书是一个让牛马自动化的工具。,,"！！！~
...",223,0
2dfd5490-738d-4ced-902a-180574bc91bc,019f9b88-2e69-491c-b7ab-ebde8526b808,1,通俗易懂,,换乘,3,0
e251cb71-c6b0-4177-876f-39a1d45a30ce,,0,飞书是一个让牛马自动化的工具。,,"！！！~
...",223,0
edbf95df-75ae-4f9f-a9f4-74d53032bad4,e251cb71-c6b0-4177-876f-39a1d45a30ce,1,真实,,华子,1,0
bfeeddb6-add6-4904-befb-0b37d6a3bccc,,0,飞书是一个让牛马自动化的工具。,,"！！！~
...",223,0
9344b432-7b58-40ef-93e9-7dfcc55c1958,bfeeddb6-add6-4904-befb-0b37d6a3bccc,1,,,白驹过隙,0,0
1419a668-5349-42d5-a4b5-4fcaa5987f7a,,0,飞书是办公软件，类似于office和WPS，只不过比他们更高级了一点,,ou利斯,0,0
cd522984-137b-4fa7-9da6-cea14fcbb863,,0,没看明白飞书是干什么的？,,心随舞动,12,0
310f6c4f-9e75-4fca-800b-e1479a942900,,0,没看明白飞书是干什么的？,,"心随舞动
...",12,0
07390e40-4b82-4d4d-9713-b12671d82789,310f6c4f-9e75-4fca-800b-e1479a942900,1,真正的老板 谁研究这个。。,,等不等（男）,1,0
542dae44-f2ae-4667-a120-5d4ef1bbc7e3,,0,没看明白飞书是干什么的？,,"心随舞动
...",12,0
d2702a7d-ca2f-43f6-920b-6d877e152d32,542dae44-f2ae-4667-a120-5d4ef1bbc7e3,1,公司里要用,,就想睡个好觉,0,0
a8975949-928b-423b-8661-03c606340eeb,,0,飞书是什么科普视频,,我去,0,0
840a0ee0-8e1f-4c65-a311-7486d4533424,,0,飞书是什么软件,,梦之蓝,0,0
