评论人,评论时间,评论内容,点赞数,二级评论人,二级评论时间,二级评论内容,二级评论点赞数
人类行为设计师-小周,1年前,你们目前在使用哪款办公软件呢？,64,,,,
基德李叫我王老八,5月前,眼睁睁看着飞书从公测做到今天这种水平！字节的研发设计真的厉害,59,,,,
方子,2月前,有人做多维表格吗？付费。,0,,,,
华仔,1年前,收费呀 有些功能不能用,2,,,,
"华仔
...",1年前·广东,收费呀 有些功能不能用,2,人类行为设计师-小周,1年前·浙江,大部分功能都是免费的啊,2.0
ning,11月前,一个工作，又微信，又企业微信，又钉钉，又飞书,320,,,,
linda,1周前,用deepseek一会就提出字段额度用完，怎么办？,0,,,,
摄像师Tony,7月前,"不是哥们,你怎么啥都会,我们公司新媒体运营都没懂的多.",16,,,,
胡同,5月前,我觉得你在做飞书广告,4,,,,
Augustine,5月前,请问管理BGM类的用什么软件呢,1,,,,
重生之我在宜宾做财税,5月前,其实做抖音很简单，开着公司的账号没事在评论区转转，别人经常看到我，自然会好奇我是做什么的牛马,2,,,,
晨,3天前,求助大神！！！我飞书制作了一个二维码填表，想设置提交时间必须在扫码15分钟以后，这个怎么弄？,0,,,,
印记,1月前,飞书多维表格里的，配置-自定义要求，怎么也找不，怎么才能找到啊，请教大神,0,,,,
linda,1周前,用deepseek一会就提出字段额度用完，怎么办？,0,,,,
毛影脚,4周前,为什么我找不到这个自定义要求,0,,,,
Y温暖的·小太阳,3月前,你好，飞书员工打卡设置时间怎么设置,0,,,,
"Y温暖的·小太阳
...",3月前·黑龙江,你好，飞书员工打卡设置时间怎么设置,0,王小井,3月前·江苏,考勤组设置,0.0
启达单身,2周前,说实话，飞书真难用,0,,,,
金金来了,1月前,飞书的水平泳道添加垂直泳道怎么做？,0,,,,
曹不羁,1月前,您好，飞书怎么添加新人员加入考勤组呢,0,,,,
用户7235608696685,3月前,飞书怎么认证,0,,,,
香诗子,1月前,可以有上门培训的讲师吗,0,,,,
加冰,2月前,飞书里的聊天视频没有画面只有声音是什么情况,0,,,,
无花爱学习,1月前,什么是少数派？,0,,,,
小荷呀,5月前,请问多维表格里面的平方根公式SQRT怎么启用呢,0,,,,
启达单身,2周前,学习都非常费劲,0,,,,
咏家,5月前,有课程吗,0,,,,
咔咔咔哇哦,1月前,咋没有多维表格讲解,0,,,,
赢富,5月前,朋友下午好谢谢你祝你工作愉快平安健康龙年吉祥,0,,,,
太阳升,1月前,非常好的课程,0,,,,
宣羽,5月前,好优秀，对新手帮助很大，谢谢,0,,,,
盈,1月前,建议增加软件桌面置顶,0,,,,
Timiu,2月前,超级干货！感谢,0,,,,
木木头,1月前,主播你好，你这边有多维表格项目管理的教程吗,0,,,,
yy~丫丫,5月前,,0,,,,
风里有我,5月前,,0,,,,
哇唔,3月前,小哥哥声音真好听,0,,,,
梦之蓝,7月前,飞书是啥,0,,,,
小小红花,7月前,飞书表格插入图片  不显示缩略图  反馈几次没回复,4,,,,
用户8252893155777,7月前,飞书是干什么用的呢,4,,,,
"用户8252893155777
...",7月前·河南,飞书是干什么用的呢,4,孤单听雨的猫,7月前·山西,工作软件,0.0
"用户8252893155777
...",7月前·河南,飞书是干什么用的呢,4,好想谈恋爱,7月前·浙江,飞信,0.0
NIC,7月前,马化腾因该把做腾讯企业微信负责人开了挖点飞书的人还有机会救一下这个赛道，要不就把飞书收购过来，公司换了飞书确实好用，但是客户不看飞书，又不能打通，天天两个软件来回切累死，这事企业微信负责人全责。,1,,,,
雨露清晨,7月前,飞书能取代什么,7,,,,
"雨露清晨
...",7月前·江西,飞书能取代什么,7,斩妄,7月前·贵州,顶多取代钉钉,5.0
"雨露清晨
...",7月前·江西,飞书能取代什么,7,莲藕钻孔员,7月前·四川,企业微信,0.0
A-天道酬勤,7月前,在飞书带的豆包问飞书管理员会不会监控聊天记录什么水平,0,,,,
伟伟,7月前,不知道什么是飞书,0,,,,
mirror,7月前,飞书电脑端怎么删除会议记录,0,,,,
花瓣雨,7月前,飞书是什么作用啊？,5,,,,
"花瓣雨
...",7月前·浙江,飞书是什么作用啊？,5,往事不再提,7月前·广西,有解决光棍脱单的作用,0.0
"花瓣雨
...",7月前·浙江,飞书是什么作用啊？,5,高山,7月前·江苏,大概和飞机差不多吧,0.0
洛美,7月前,飞书，我每天都要用的工具,0,,,,
59661552337,7月前,飞书是不是和AI很像？,0,,,,
随丰〔套猴子版〕,7月前,飞书是输入法么？,6,,,,
"随丰〔套猴子版〕
...",7月前·辽宁,飞书是输入法么？,6,皓峰大叔,7月前·四川,不是，飞书是一本哈利波特的那本魔法书，它能飞,1.0
"随丰〔套猴子版〕
...",7月前·辽宁,飞书是输入法么？,6,二五一十,7月前·山东,办公软件,0.0
！！！~,7月前,飞书是一个让牛马自动化的工具。,223,,,,
"！！！~
...",7月前·湖南,飞书是一个让牛马自动化的工具。,223,冯奶宝,7月前·陕西,散了散了,7.0
"！！！~
...",7月前·湖南,飞书是一个让牛马自动化的工具。,223,换乘,7月前·福建,通俗易懂,3.0
"！！！~
...",7月前·湖南,飞书是一个让牛马自动化的工具。,223,华子,7月前·广东,真实,1.0
"！！！~
...",7月前·湖南,飞书是一个让牛马自动化的工具。,223,白驹过隙,7月前·广东,,0.0
ou利斯,7月前,飞书是办公软件，类似于office和WPS，只不过比他们更高级了一点,0,,,,
心随舞动,7月前,没看明白飞书是干什么的？,12,,,,
"心随舞动
...",7月前·四川,没看明白飞书是干什么的？,12,等不等（男）,7月前·山东,真正的老板 谁研究这个。。,1.0
"心随舞动
...",7月前·四川,没看明白飞书是干什么的？,12,就想睡个好觉,7月前·江西,公司里要用,0.0
我去,7月前,飞书是什么科普视频,0,,,,
梦之蓝,7月前,飞书是什么软件,0,,,,
爱吃花椒的喵酱,7月前,飞书的加急能让人心头一紧,0,,,,
