cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
3470a564-74e9-4d55-83e6-fd2e3b219a8b,,0,这新闻太离谱了，真是刷新三观,2025-11-01 08:45:12,用户151,214,0
315a8d25-8b4d-4286-b5db-4b69512a462c,3470a564-74e9-4d55-83e6-fd2e3b219a8b,1,现在的社会天天有戏,2025-11-01 09:02:41,用户B151,57,0
0b1935a0-097f-4ffa-8c02-1721101c660a,,0,人民日报的报道太及时了,2025-11-01 09:26:48,用户152,156,0
aa466549-2cd8-44c2-9b62-9be4be22afde,0b1935a0-097f-4ffa-8c02-1721101c660a,1,官方回应很到位,2025-11-01 09:41:29,用户B152,42,0
3d77e543-d532-4355-a17e-621e364959dc,,0,科技新闻看得我热血沸腾,2025-11-01 10:05:33,用户153,184,0
75d22f96-96dd-472a-a9f8-b45214c37f11,3d77e543-d532-4355-a17e-621e364959dc,1,国产技术真的崛起了,2025-11-01 10:21:18,用户B153,63,0
e625df50-61d0-45d8-a864-8da176903f0f,,0,国际新闻越来越卷了,2025-11-01 10:43:57,用户154,129,0
2107b29e-3889-4fd7-9c0e-2746fea30972,,0,又是关于AI的报道，时代变快了,2025-11-01 11:12:40,用户155,203,0
179dd39b-4a3f-486f-b688-4b041e58f5f7,2107b29e-3889-4fd7-9c0e-2746fea30972,1,一不留神就落后,2025-11-01 11:27:50,用户B155,52,0
56dfe465-2b3b-459c-be5c-eaaf41bd81ce,,0,今天看到的最暖新闻了,2025-11-01 12:01:19,用户156,175,0
2bd1872a-80a4-43d9-9b5e-daf3d5d45a02,56dfe465-2b3b-459c-be5c-eaaf41bd81ce,1,善意真的会传递,2025-11-01 12:16:44,用户B156,48,0
33505e25-a7c6-41da-a1a7-3cdf180c5d75,,0,看完这个新闻有点泪目,2025-11-01 12:44:28,用户157,192,0
8a465f8e-0834-43e1-9888-06c155b96a0c,33505e25-a7c6-41da-a1a7-3cdf180c5d75,1,同感，平凡人最感动,2025-11-01 12:59:02,用户B157,54,0
ba2cc4ef-fb93-452f-acb0-764f55556863,,0,教育话题永远热门,2025-11-01 13:30:06,用户158,111,0
40b001db-897d-49fe-8307-58313014c639,,0,新能源车又降价了？,2025-11-01 14:05:21,用户159,167,0
