评论人,评论时间,评论内容,点赞数,二级评论人,二级评论时间,二级评论内容,二级评论点赞数
"华仔
...",1年前·广东,收费呀 有些功能不能用,2,人类行为设计师-小周,1年前·浙江,大部分功能都是免费的啊,2.0
"Y温暖的·小太阳
...",3月前·黑龙江,你好，飞书员工打卡设置时间怎么设置,0,王小井,3月前·江苏,考勤组设置,0.0
"用户8252893155777
...",7月前·河南,飞书是干什么用的呢,4,孤单听雨的猫,7月前·山西,工作软件,0.0
"用户8252893155777
...",7月前·河南,飞书是干什么用的呢,4,好想谈恋爱,7月前·浙江,飞信,0.0
"雨露清晨
...",7月前·江西,飞书能取代什么,7,莲藕钻孔员,7月前·四川,企业微信,0.0
"花瓣雨
...",7月前·浙江,飞书是什么作用啊？,5,往事不再提,7月前·广西,有解决光棍脱单的作用,0.0
"花瓣雨
...",7月前·浙江,飞书是什么作用啊？,5,高山,7月前·江苏,大概和飞机差不多吧,0.0
"随丰〔套猴子版〕
...",7月前·辽宁,飞书是输入法么？,6,皓峰大叔,7月前·四川,不是，飞书是一本哈利波特的那本魔法书，它能飞,1.0
"随丰〔套猴子版〕
...",7月前·辽宁,飞书是输入法么？,6,二五一十,7月前·山东,办公软件,0.0
"心随舞动
...",7月前·四川,没看明白飞书是干什么的？,12,等不等（男）,7月前·山东,真正的老板 谁研究这个。。,1.0
"心随舞动
...",7月前·四川,没看明白飞书是干什么的？,12,就想睡个好觉,7月前·江西,公司里要用,0.0
"花香满径
...",7月前·江西,飞书真的好用吗？,1,現在是 幻想時刻,7月前·广东,,0.0
"雾漫过山川
...",7月前·山东,飞书是什么软件，花钱吗,5,简单简爱,7月前·天津,很多东西先期都不花钱 后期。。。,0.0
"雾漫过山川
...",7月前·山东,飞书是什么软件，花钱吗,5,石屹節公社首席藝術家冯小胖,7月前·新疆,疫情单位让在上面报体温计和身体症候,0.0
"花生好吃
...",7月前·江苏,我也想问 飞书是干嘛的,8,不迟,7月前·四川,微信钉钉腾讯文档还有办公软件的结合体,0.0
"花生好吃
...",7月前·江苏,我也想问 飞书是干嘛的,8,蓝心羽绒,7月前·河南,办公的聊天软件。功能收费的。自己可以看到都有哪些人看了你的消息。已读不回不存在,0.0
"花生好吃
...",7月前·江苏,我也想问 飞书是干嘛的,8,Jay,7月前·浙江,和钉钉差不多,1.0
"无副作用.
...",7月前·山东,飞书是啥抖音版的钉钉吗,10,佚名,7月前·内蒙古,打工人的钉钉超级加强版,1.0
"无副作用.
...",7月前·山东,飞书是啥抖音版的钉钉吗,10,屑屑你,7月前·重庆,,0.0
"以琳
...",7月前·江西,飞书是什么,3,鹤plus,7月前·湖北,抖音的母公司，字节跳动自己出的一种员工微信，类似钉钉。牛马助手,1.0
"以琳
...",7月前·江西,飞书是什么,3,莆田壹号档口,7月前·浙江,牛马自动化软件,0.0
"挽星
...",7月前·河北,不错，干什么用的,9,相逢何必曾相识,7月前·山西,牛马的紧箍咒,0.0
"挽星
...",7月前·河北,不错，干什么用的,9,@Yuuuuuuu,7月前·河南,类似于钉钉,2.0
"挽星
...",7月前·河北,不错，干什么用的,9,灯登等邓,7月前·广东,打工用的,0.0
"磊子
...",7月前·山东,企业微信不行吗,7,JJ.,7月前·上海,两个一起用，企业微信用来发邮件,1.0
"磊子
...",7月前·山东,企业微信不行吗,7,壹葉之秋,7月前·四川,楼主比较专业，懂得多,1.0
"磊子
...",7月前·山东,企业微信不行吗,7,Movingstar,7月前·河北,企业微信好用，但是贵。,0.0
"~事事如意~
...",7月前·北京,不懂就问：飞书是什么？？？,28,渐晚ག,7月前·四川,遇到正解了,0.0
"~事事如意~
...",7月前·北京,不懂就问：飞书是什么？？？,28,一禅老和尚,7月前·北京,类似于钉钉,1.0
"~事事如意~
...",7月前·北京,不懂就问：飞书是什么？？？,28,林可,7月前·湖北,一个app,0.0
"~事事如意~
...",7月前·北京,不懂就问：飞书是什么？？？,28,芒 果 鲨,7月前·广东,办公软件,0.0
"憶
...",7月前·内蒙古,飞书是干嘛用的,35,黎小明,7月前·山东,便于老板管你的,1.0
"憶
...",7月前·内蒙古,飞书是干嘛用的,35,我愛白,7月前·浙江,企业员工沟通也在用，我们公司就用的飞书,2.0
"憶
...",7月前·内蒙古,飞书是干嘛用的,35,保持热爱*奔赴山海,7月前·天津,领导监视你的,2.0
"憶
...",7月前·内蒙古,飞书是干嘛用的,35,阿定制,7月前·北京,你知道上班第一件事要干嘛吗,1.0
"憶
...",7月前·内蒙古,飞书是干嘛用的,35,王祥,7月前·山东,字节的办公软件,0.0
"憶
...",7月前·内蒙古,飞书是干嘛用的,35,路口等,7月前·福建,从蛹破茧而出的瞬间，是撕掉一层皮的痛苦彻心彻肺很多蝴蝶都是在破茧而出的那一刻被痛得死掉了。,0.0
"憶
...",7月前·内蒙古,飞书是干嘛用的,35,憶,7月前·内蒙古,好吧,0.0
"貓丶爺
...",7月前·云南,我只有一个问题飞书交不交苹果税,31,怷🫡,7月前·云南,哈哈哈,0.0
"貓丶爺
...",7月前·云南,我只有一个问题飞书交不交苹果税,31,用户0650740921279,7月前·云南,安卓没税？鸿蒙没税？天真,1.0
