cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
35931e4b-bcb9-41d5-b57b-f4f3484f0383,,0,这期真的太治愈了，看了三遍,2025-10-27 09:15:10,用户051,156,0
11e3ad5e-c58d-4d73-a993-e3e69e8961cc,35931e4b-bcb9-41d5-b57b-f4f3484f0383,1,我也是，每次都被打动,2025-10-27 09:32:42,用户A51,42,0
97584d78-612b-4b8a-9c3a-1e4b1d8d4ac7,,0,有种纪录片的质感,2025-10-27 10:20:25,用户052,88,0
bc6b965b-1a6f-4462-9f66-5e849c57f552,97584d78-612b-4b8a-9c3a-1e4b1d8d4ac7,1,光影很真实,2025-10-27 10:35:16,用户A52,25,0
4a342c7e-568a-4003-8cea-60abceea2e7d,,0,这背景音乐叫什么？,2025-10-27 11:03:14,用户053,63,0
ff00add4-bff1-4586-a2f9-4bdf312265bb,4a342c7e-568a-4003-8cea-60abceea2e7d,1,《风的形状》,2025-10-27 11:19:02,用户A53,19,0
0fa293b7-c115-4528-a4c8-10414f39ce0a,,0,博主太会选素材了,2025-10-27 12:24:18,用户054,117,0
25a74503-fd9f-4de5-904c-36f695fbe05d,0fa293b7-c115-4528-a4c8-10414f39ce0a,1,每帧都像画,2025-10-27 12:35:20,用户A54,33,0
d25be80d-844c-4b71-b29a-cba66d9da6ed,,0,这个色调真的太好看了,2025-10-27 13:17:59,用户055,79,0
dd9e15c8-ea1e-4d71-ab55-64b0038ca058,,0,有点像日剧的镜头语言,2025-10-27 14:22:46,用户056,95,0
f311ebdf-5d90-4980-be19-c9a0f77d2a77,dd9e15c8-ea1e-4d71-ab55-64b0038ca058,1,特别干净,2025-10-27 14:39:00,用户A56,27,0
6b112a74-5234-4275-894e-a608c9abf9b1,,0,看到最后泪崩了,2025-10-27 15:31:18,用户057,163,0
b9fd0813-4e67-43a6-b383-8e32ac304b2d,6b112a74-5234-4275-894e-a608c9abf9b1,1,太触动了,2025-10-27 15:47:52,用户A57,48,0
e095e49c-04c8-490f-aa2d-353ecde0f99c,,0,这期真的有力量,2025-10-27 16:43:09,用户058,138,0
984e51ca-cce0-4b09-9478-27a103de6cd4,e095e49c-04c8-490f-aa2d-353ecde0f99c,1,“温柔的人最强大”,2025-10-27 17:00:31,用户A58,44,0
58d4b84b-6281-48e9-874b-7cf0cf18a0a1,,0,每次都被文案打动,2025-10-27 17:50:05,用户059,119,0
ad6ace38-7323-4c2f-b4f1-219d19afa07a,,0,看完又想起了某个人,2025-10-27 18:35:42,用户060,102,0
6a016588-8399-4501-bc39-72fcaf0c7a33,ad6ace38-7323-4c2f-b4f1-219d19afa07a,1,我懂那种感觉,2025-10-27 18:52:00,用户A60,35,0
2eba05f6-31f7-4003-a7f3-5633068395df,,0,真的希望这种风格一直保持,2025-10-28 09:20:51,用户061,127,0
70633d46-a626-41bf-a6bf-504cd52d955d,2eba05f6-31f7-4003-a7f3-5633068395df,1,永远支持,2025-10-28 09:36:09,用户A61,39,0
859b0b6d-5688-4cbb-b109-cbbe8acebc89,,0,光影太绝了,2025-10-28 10:14:27,用户062,84,0
a9c60885-8616-4765-9c5e-aebf9d118898,859b0b6d-5688-4cbb-b109-cbbe8acebc89,1,感觉像电影镜头,2025-10-28 10:25:50,用户A62,22,0
99f93545-4c6f-4835-bf94-43997fd3c875,,0,文案真的越来越有深度,2025-10-28 11:28:33,用户063,112,0
96fe1846-ef9b-4c98-b7c6-7626d8316b28,99f93545-4c6f-4835-bf94-43997fd3c875,1,尤其是结尾那段,2025-10-28 11:39:46,用户A63,30,0
10aa30be-a73f-4c1f-b79e-a294c0360910,,0,这音乐是原创的吗？,2025-10-28 12:10:59,用户064,74,0
dcad2505-0908-46fe-8fda-d61384f02b1e,,0,太美了吧这取景,2025-10-28 13:05:14,用户065,96,0
de5f9d1a-beb7-4f50-afd6-c08074689ac1,dcad2505-0908-46fe-8fda-d61384f02b1e,1,光线抓得好,2025-10-28 13:21:58,用户A65,28,0
e4b06341-f5fb-4ffa-8c53-29c91d8ab975,,0,想看这个系列的幕后,2025-10-28 14:19:44,用户066,105,0
e40f8b28-81cc-44c8-a581-f7986e74407b,e4b06341-f5fb-4ffa-8c53-29c91d8ab975,1,他们微博有发,2025-10-28 14:35:10,用户A66,31,0
d6396d62-0c7c-4016-a77c-fffadc83b7f5,,0,感觉故事很真实,2025-10-28 15:42:27,用户067,91,0
01ebfe83-6b80-43f1-b400-1df5336d1d79,d6396d62-0c7c-4016-a77c-fffadc83b7f5,1,像生活里的片段,2025-10-28 15:59:18,用户A67,24,0
1cabd8b0-a311-409e-824e-9fc5c61ad029,,0,太温柔了这期,2025-10-28 16:37:51,用户068,152,0
4ba2cb62-896f-47de-ad4d-faeffaa1a010,1cabd8b0-a311-409e-824e-9fc5c61ad029,1,温柔到骨子里,2025-10-28 16:55:20,用户A68,50,0
7935288c-6e8f-451a-8646-be6ee5c35183,,0,看到那句话直接泪目,2025-10-28 17:26:10,用户069,134,0
8dd4491d-e7d8-4b57-bcc5-63b7fef0e416,7935288c-6e8f-451a-8646-be6ee5c35183,1,“要温柔也要坚定”,2025-10-28 17:44:09,用户A69,46,0
5dac8117-1538-4b33-a6ee-520ed20b89cc,,0,这段bgm让我想起夏天,2025-10-28 18:18:42,用户070,83,0
bec2a490-9852-446c-9aa0-90e749319e20,,0,太喜欢这个系列了,2025-10-29 09:09:16,用户071,145,0
7926dbec-410b-41c9-9c31-b5b6e0a6c486,bec2a490-9852-446c-9aa0-90e749319e20,1,我都收藏了,2025-10-29 09:22:47,用户A71,38,0
9730780b-58ef-4c45-a2fd-93c4997be4f5,,0,感觉节奏刚刚好,2025-10-29 10:22:03,用户072,103,0
bc9f9aa7-a106-4ea4-8a32-4550402d1d6e,9730780b-58ef-4c45-a2fd-93c4997be4f5,1,毫不拖沓,2025-10-29 10:37:55,用户A72,29,0
f895ef28-b31d-4783-aba1-0e9546f14ada,,0,画面好有质感,2025-10-29 11:11:28,用户073,116,0
9ae0b9a9-48bc-4881-a1c3-cd316824226c,,0,看完好平静,2025-10-29 12:27:44,用户074,98,0
07717cb2-9cf8-4210-b9d2-60d30361c19b,9ae0b9a9-48bc-4881-a1c3-cd316824226c,1,很疗愈,2025-10-29 12:45:09,用户A74,25,0
d17ec600-1681-4478-ad1e-58921a3017e3,,0,太会讲故事了,2025-10-29 13:33:51,用户075,122,0
be885171-ebfb-4379-a6c6-9fecc7e790e7,d17ec600-1681-4478-ad1e-58921a3017e3,1,文案真绝,2025-10-29 13:50:21,用户A75,34,0
0afb400d-4664-43c3-8c8d-86ddc664bc7b,,0,感觉每一集都像电影,2025-10-29 14:16:37,用户076,139,0
1213dd4d-1546-4e76-9c45-8a9b20dfc3c4,0afb400d-4664-43c3-8c8d-86ddc664bc7b,1,剧本也写得好,2025-10-29 14:31:40,用户A76,37,0
4bfb1877-9b62-4230-b3a5-c9f8f5510d43,,0,这期太短了！还想看！,2025-10-29 15:28:19,用户077,110,0
4088fd7e-16ea-41a5-b75f-419a5159a34e,4bfb1877-9b62-4230-b3a5-c9f8f5510d43,1,同感不够看,2025-10-29 15:45:55,用户A77,32,0
f4caf727-d6b3-41e9-951c-b418699e2154,,0,想问滤镜名字,2025-10-29 16:20:04,用户078,75,0
0fe96374-4bbf-4b44-a0fe-a3cbde963f2d,f4caf727-d6b3-41e9-951c-b418699e2154,1,可能是CineBloom,2025-10-29 16:37:22,用户A78,20,0
778efa2b-9f4f-4e27-9585-6b084cd29fce,,0,自己看了都想重新出发,2025-10-29 17:12:47,用户079,158,0
886839eb-d4e5-44b5-85f2-00aa728098c9,778efa2b-9f4f-4e27-9585-6b084cd29fce,1,加油！生活还在继续,2025-10-29 17:27:14,用户A79,49,0
6d835d6f-a2ca-44b0-8590-ca7d4f9093dd,,0,这期真的有点意思,2025-10-29 18:04:18,用户080,88,0
9e999959-bead-40ba-98ee-387fe6392f07,6d835d6f-a2ca-44b0-8590-ca7d4f9093dd,1,同感，比上期好,2025-10-29 18:19:31,用户A80,24,0
19c9292b-2d69-4305-a08c-bd9058691cff,,0,我爱这镜头语言,2025-10-30 09:17:03,用户081,133,0
23e72b95-5230-4b23-b5b3-9b2948f927bb,19c9292b-2d69-4305-a08c-bd9058691cff,1,构图太美了,2025-10-30 09:34:12,用户A81,42,0
06dbef61-1d1e-40bd-aa50-82e7734461ba,,0,看完心都静了,2025-10-30 10:09:45,用户082,124,0
d0a4961c-0489-4c5c-80af-0586c3a6b711,06dbef61-1d1e-40bd-aa50-82e7734461ba,1,太有感染力,2025-10-30 10:26:00,用户A82,40,0
97d65463-76d8-4949-89ae-615b7ee3d535,,0,真希望能出原声带,2025-10-30 11:22:28,用户083,92,0
1590505b-91af-443c-9373-6746a1cb18c4,97d65463-76d8-4949-89ae-615b7ee3d535,1,有版权估计难,2025-10-30 11:38:10,用户A83,27,0
e079b476-7498-4411-b81c-ce8bf3bcbad4,,0,看完有点感动,2025-10-30 12:37:14,用户084,106,0
9102ffc1-c2df-49fd-906a-291c435414d5,,0,这文案太温柔了,2025-10-30 13:41:22,用户085,147,0
98dda12f-21f1-4a03-ba0a-c11086464892,9102ffc1-c2df-49fd-906a-291c435414d5,1,一字一句都戳心,2025-10-30 13:56:18,用户A85,43,0
733b7cb5-1e31-4c3f-9a24-345eb6c79640,,0,光影太绝太浪漫了,2025-10-30 14:29:58,用户086,118,0
c98de9ad-5fa0-4be9-9f19-63930f46b4ff,733b7cb5-1e31-4c3f-9a24-345eb6c79640,1,看得出团队很用心,2025-10-30 14:46:37,用户A86,36,0
0f38b9b0-51f8-4e6d-b903-b215ceb8c12d,,0,感觉像在看短片,2025-10-30 15:11:44,用户087,109,0
4e90292f-4998-4c96-99ae-6db7eac034f5,0f38b9b0-51f8-4e6d-b903-b215ceb8c12d,1,节奏掌控太棒了,2025-10-30 15:28:05,用户A87,31,0
88cbeb2a-6084-45af-bb2c-d8678cc172c1,,0,每次都让我感同身受,2025-10-30 16:20:18,用户088,130,0
8bc7b812-b1da-4961-814f-035181300fff,88cbeb2a-6084-45af-bb2c-d8678cc172c1,1,太懂观众了,2025-10-30 16:33:42,用户A88,38,0
3e35db56-392b-4a55-b5ee-ddd7d4279b25,,0,文案简直神来之笔,2025-10-30 17:12:00,用户089,173,0
a9be9b7f-08cb-4b2b-be25-803f6829c180,3e35db56-392b-4a55-b5ee-ddd7d4279b25,1,“温柔是力量”那句封神,2025-10-30 17:25:26,用户A89,54,0
422940c0-e924-44a9-ad27-ce274baa9a87,,0,背景音乐太好听,2025-10-30 18:08:47,用户090,82,0
7c166d4f-fb83-4c32-a1e7-b675830efc1d,422940c0-e924-44a9-ad27-ce274baa9a87,1,重复听了五遍,2025-10-30 18:24:11,用户A90,22,0
63343c57-0341-47f5-a070-93f191ce2920,,0,这期节奏很舒服,2025-10-31 09:16:29,用户091,95,0
aed20700-ef10-4a2b-a1a6-7bc940736fe8,,0,有点像之前那期的延续,2025-10-31 10:27:54,用户092,101,0
288bc44a-623d-4a74-9d7b-4bdbd17b9df6,aed20700-ef10-4a2b-a1a6-7bc940736fe8,1,故事线衔接得很好,2025-10-31 10:41:19,用户A92,28,0
fb90633d-ffa6-4913-b663-02828ae8d392,,0,太喜欢最后那一幕了,2025-10-31 11:32:08,用户093,139,0
b64a5a3f-4f99-476c-9ba3-4011d42a0e82,fb90633d-ffa6-4913-b663-02828ae8d392,1,光影太治愈,2025-10-31 11:49:07,用户A93,41,0
245228c2-aa8d-4b64-b08c-de7f38da87be,,0,这bgm是原创吗？,2025-10-31 12:19:43,用户094,66,0
c3131b24-e8db-432e-bec4-43d353c33add,245228c2-aa8d-4b64-b08c-de7f38da87be,1,不是，是配乐库里的,2025-10-31 12:36:14,用户A94,17,0
a4035c03-4626-4c96-8b26-b2cb12a6ddb8,,0,结尾那句好温柔,2025-10-31 13:43:12,用户095,121,0
6c238d04-8e35-4648-b55f-8ec8171dd7be,a4035c03-4626-4c96-8b26-b2cb12a6ddb8,1,“不疾不徐，自有归处”,2025-10-31 13:58:20,用户A95,34,0
b50773dd-2600-4929-91bc-312303af2d59,,0,感觉越来越专业,2025-10-31 14:32:47,用户096,128,0
