cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
029e39ad-5943-416f-b449-732e1111adec,,0,这期真的太治愈了，看了三遍,2025-10-27 09:15:10,用户051,156,0
b8679c87-f982-48f7-9ef7-d8ffbeba0132,029e39ad-5943-416f-b449-732e1111adec,1,我也是，每次都被打动,2025-10-27 09:32:42,用户A51,42,0
46ca5277-bfd3-46f7-9bcc-de9c836b33aa,,0,有种纪录片的质感,2025-10-27 10:20:25,用户052,88,0
78ee1d76-0386-432a-ab23-4b2995f86248,46ca5277-bfd3-46f7-9bcc-de9c836b33aa,1,光影很真实,2025-10-27 10:35:16,用户A52,25,0
cb207c81-eb4e-4ef1-bb41-f5193e3e8364,,0,这背景音乐叫什么？,2025-10-27 11:03:14,用户053,63,0
08f5b581-d53b-4221-9209-112ddea1b2ce,cb207c81-eb4e-4ef1-bb41-f5193e3e8364,1,《风的形状》,2025-10-27 11:19:02,用户A53,19,0
6bf3234a-c687-4d0d-94fe-72c97216a369,,0,博主太会选素材了,2025-10-27 12:24:18,用户054,117,0
19498b46-48d6-4db7-a06f-56507f227772,6bf3234a-c687-4d0d-94fe-72c97216a369,1,每帧都像画,2025-10-27 12:35:20,用户A54,33,0
92e4b74f-96ad-4fce-b7ed-74a3711f6e07,,0,这个色调真的太好看了,2025-10-27 13:17:59,用户055,79,0
e816c2bc-d949-4871-81d3-dedb0a47ae62,,0,有点像日剧的镜头语言,2025-10-27 14:22:46,用户056,95,0
81d60939-5201-4b3a-8de0-ae65ad9069a7,e816c2bc-d949-4871-81d3-dedb0a47ae62,1,特别干净,2025-10-27 14:39:00,用户A56,27,0
10b3b83e-15a2-4889-a7ec-fc5019a9b6c9,,0,看到最后泪崩了,2025-10-27 15:31:18,用户057,163,0
c2d6f538-bd9f-4621-947d-bc39a427c909,10b3b83e-15a2-4889-a7ec-fc5019a9b6c9,1,太触动了,2025-10-27 15:47:52,用户A57,48,0
b0fa0bb2-205b-448e-ab61-58ef4db89106,,0,这期真的有力量,2025-10-27 16:43:09,用户058,138,0
06553a85-5163-4bb8-a0b9-705db8779c75,b0fa0bb2-205b-448e-ab61-58ef4db89106,1,“温柔的人最强大”,2025-10-27 17:00:31,用户A58,44,0
fee951e6-3df0-45ca-8165-2b20929a3aae,,0,每次都被文案打动,2025-10-27 17:50:05,用户059,119,0
6baae456-9197-4ef1-9e52-24a583d65a65,,0,看完又想起了某个人,2025-10-27 18:35:42,用户060,102,0
034e3fb2-7059-4e86-81f0-aabedf3b962c,6baae456-9197-4ef1-9e52-24a583d65a65,1,我懂那种感觉,2025-10-27 18:52:00,用户A60,35,0
3c9d3652-2cf8-433d-b922-4b44e3ec51f5,,0,真的希望这种风格一直保持,2025-10-28 09:20:51,用户061,127,0
740edfae-7ab7-4f53-862b-3d4a02e1c3e9,3c9d3652-2cf8-433d-b922-4b44e3ec51f5,1,永远支持,2025-10-28 09:36:09,用户A61,39,0
65089651-1943-46c1-b99c-cbbefc89ba51,,0,光影太绝了,2025-10-28 10:14:27,用户062,84,0
a783fd52-5066-4e7a-94c2-4a84008b64f6,65089651-1943-46c1-b99c-cbbefc89ba51,1,感觉像电影镜头,2025-10-28 10:25:50,用户A62,22,0
07c58980-ec37-46f1-9d06-319fb9712877,,0,文案真的越来越有深度,2025-10-28 11:28:33,用户063,112,0
397ff087-ae95-459e-b1b6-9bcbe600f4a8,07c58980-ec37-46f1-9d06-319fb9712877,1,尤其是结尾那段,2025-10-28 11:39:46,用户A63,30,0
b0067467-ddb0-4963-8893-0f0d779ae250,,0,这音乐是原创的吗？,2025-10-28 12:10:59,用户064,74,0
4996e64c-be27-4d29-a809-1b38b0b198f2,,0,太美了吧这取景,2025-10-28 13:05:14,用户065,96,0
90208772-dc33-4b29-9435-f13519ebb5c6,4996e64c-be27-4d29-a809-1b38b0b198f2,1,光线抓得好,2025-10-28 13:21:58,用户A65,28,0
4c16fee0-1d4c-4675-935c-3e18b41caeac,,0,想看这个系列的幕后,2025-10-28 14:19:44,用户066,105,0
df614779-212e-4d50-9cff-e6a1a33911f8,4c16fee0-1d4c-4675-935c-3e18b41caeac,1,他们微博有发,2025-10-28 14:35:10,用户A66,31,0
6d59c312-322f-4dd0-b6e4-232f912a3569,,0,感觉故事很真实,2025-10-28 15:42:27,用户067,91,0
cd957921-ef43-4fbd-8d6c-fabadbb2a9e3,6d59c312-322f-4dd0-b6e4-232f912a3569,1,像生活里的片段,2025-10-28 15:59:18,用户A67,24,0
3b839ed6-126c-4a3a-ac2d-dada2233f1b9,,0,太温柔了这期,2025-10-28 16:37:51,用户068,152,0
1cc37642-0345-47bd-88dc-d02d351786db,3b839ed6-126c-4a3a-ac2d-dada2233f1b9,1,温柔到骨子里,2025-10-28 16:55:20,用户A68,50,0
b7f01a8e-a7fb-47b4-b8e6-165db0130070,,0,看到那句话直接泪目,2025-10-28 17:26:10,用户069,134,0
12aeede0-89ed-4fda-b007-21bed8630ccb,b7f01a8e-a7fb-47b4-b8e6-165db0130070,1,“要温柔也要坚定”,2025-10-28 17:44:09,用户A69,46,0
524b30c3-9003-428b-a871-f7d602bb570b,,0,这段bgm让我想起夏天,2025-10-28 18:18:42,用户070,83,0
8e54454c-d26a-471d-b02d-2460cf97d524,,0,太喜欢这个系列了,2025-10-29 09:09:16,用户071,145,0
f5b41ec2-563c-4f5b-9903-f6bff9674ad8,8e54454c-d26a-471d-b02d-2460cf97d524,1,我都收藏了,2025-10-29 09:22:47,用户A71,38,0
1a6e449d-160b-4956-87dc-634a5c1bcc9b,,0,感觉节奏刚刚好,2025-10-29 10:22:03,用户072,103,0
6557162d-c8ad-4430-ae17-96f8a76609f1,1a6e449d-160b-4956-87dc-634a5c1bcc9b,1,毫不拖沓,2025-10-29 10:37:55,用户A72,29,0
30348502-baf9-4d49-af83-f825c311b6ab,,0,画面好有质感,2025-10-29 11:11:28,用户073,116,0
f9119a8c-b26a-4abd-9e10-2f28b6f0aff9,,0,看完好平静,2025-10-29 12:27:44,用户074,98,0
7f3c05b7-dfef-41d6-9150-b9f6e3937281,f9119a8c-b26a-4abd-9e10-2f28b6f0aff9,1,很疗愈,2025-10-29 12:45:09,用户A74,25,0
4ab5f6de-aaa6-44ae-81b0-a966c255c880,,0,太会讲故事了,2025-10-29 13:33:51,用户075,122,0
