cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
352b6903-a5fd-429b-bff1-6b57022fd416,,0,这期真的太治愈了，看了三遍,2025-10-27 09:15:10,用户051,156,0
998423dd-1c1f-41e0-be59-40652405da53,352b6903-a5fd-429b-bff1-6b57022fd416,1,我也是，每次都被打动,2025-10-27 09:32:42,用户A51,42,0
40d7780a-b79e-4d81-bd50-7f97e84a6062,,0,有种纪录片的质感,2025-10-27 10:20:25,用户052,88,0
fad33e43-42f8-417b-9ff3-06e6217ab886,40d7780a-b79e-4d81-bd50-7f97e84a6062,1,光影很真实,2025-10-27 10:35:16,用户A52,25,0
fe0055a1-501f-4534-ae5d-cdea2b68ffde,,0,这背景音乐叫什么？,2025-10-27 11:03:14,用户053,63,0
c2903207-54c5-4f40-bc2f-0afa7d6f7160,fe0055a1-501f-4534-ae5d-cdea2b68ffde,1,《风的形状》,2025-10-27 11:19:02,用户A53,19,0
123dfa9e-ce20-44b5-b031-544cb656af61,,0,博主太会选素材了,2025-10-27 12:24:18,用户054,117,0
0c500067-9134-4292-a6ce-18b69abdcd7c,123dfa9e-ce20-44b5-b031-544cb656af61,1,每帧都像画,2025-10-27 12:35:20,用户A54,33,0
01675165-2df2-47dc-a1e5-a82ef5264810,,0,这个色调真的太好看了,2025-10-27 13:17:59,用户055,79,0
178c3029-cce1-4a86-a99a-2dcaac81ef27,,0,有点像日剧的镜头语言,2025-10-27 14:22:46,用户056,95,0
307691cf-429b-4eda-b93f-ba3474960043,178c3029-cce1-4a86-a99a-2dcaac81ef27,1,特别干净,2025-10-27 14:39:00,用户A56,27,0
243dae74-e596-4f03-b27d-23758b459a0c,,0,看到最后泪崩了,2025-10-27 15:31:18,用户057,163,0
2851bae1-05b6-4f6a-8d23-630b534dd8f8,243dae74-e596-4f03-b27d-23758b459a0c,1,太触动了,2025-10-27 15:47:52,用户A57,48,0
d77e5534-6078-47c7-ad74-4ed637242618,,0,这期真的有力量,2025-10-27 16:43:09,用户058,138,0
9cb9fad6-3711-466c-9196-6cca3f719cc0,d77e5534-6078-47c7-ad74-4ed637242618,1,“温柔的人最强大”,2025-10-27 17:00:31,用户A58,44,0
aa9eed2c-7a28-4fe7-b413-def5fd4479b4,,0,每次都被文案打动,2025-10-27 17:50:05,用户059,119,0
be67211f-0c46-4817-a04a-5d62194f5109,,0,看完又想起了某个人,2025-10-27 18:35:42,用户060,102,0
71e64520-87cd-4dc3-a9f1-bcc64f79c387,be67211f-0c46-4817-a04a-5d62194f5109,1,我懂那种感觉,2025-10-27 18:52:00,用户A60,35,0
596109ec-480f-402b-8a69-899654af0ff8,,0,真的希望这种风格一直保持,2025-10-28 09:20:51,用户061,127,0
c88993b7-8bb9-4d05-b7d6-84998ece8b69,596109ec-480f-402b-8a69-899654af0ff8,1,永远支持,2025-10-28 09:36:09,用户A61,39,0
8d95d866-f632-4494-b2b8-df3e0dc35ec8,,0,光影太绝了,2025-10-28 10:14:27,用户062,84,0
56e00f83-8de2-411d-94bb-c86ff7b919d6,8d95d866-f632-4494-b2b8-df3e0dc35ec8,1,感觉像电影镜头,2025-10-28 10:25:50,用户A62,22,0
a152dfb5-8c44-4a27-8388-decea6588109,,0,文案真的越来越有深度,2025-10-28 11:28:33,用户063,112,0
2033a4de-7dcb-4a8b-abc4-31f06b5a9f1e,a152dfb5-8c44-4a27-8388-decea6588109,1,尤其是结尾那段,2025-10-28 11:39:46,用户A63,30,0
04be0632-a554-455f-bf62-ae6cc90d12de,,0,这音乐是原创的吗？,2025-10-28 12:10:59,用户064,74,0
75e15755-5cff-4383-ac42-bdc84ffab5be,,0,太美了吧这取景,2025-10-28 13:05:14,用户065,96,0
eaed0807-89e0-4402-9a99-b3652eb8e951,75e15755-5cff-4383-ac42-bdc84ffab5be,1,光线抓得好,2025-10-28 13:21:58,用户A65,28,0
f2ac36bb-a3b8-4410-a0b0-72913bc6dcfb,,0,想看这个系列的幕后,2025-10-28 14:19:44,用户066,105,0
e37157a1-d551-452f-b848-3854773b535e,f2ac36bb-a3b8-4410-a0b0-72913bc6dcfb,1,他们微博有发,2025-10-28 14:35:10,用户A66,31,0
3c8b7f48-e5e6-4124-bdee-c3dcd60edb3f,,0,感觉故事很真实,2025-10-28 15:42:27,用户067,91,0
69ab807d-8293-4820-9ba6-f20ede47de97,3c8b7f48-e5e6-4124-bdee-c3dcd60edb3f,1,像生活里的片段,2025-10-28 15:59:18,用户A67,24,0
8e9dcb1b-d49e-49b9-b088-0a3b26160ddb,,0,太温柔了这期,2025-10-28 16:37:51,用户068,152,0
54fce791-d01f-4133-9757-16cc339730d5,8e9dcb1b-d49e-49b9-b088-0a3b26160ddb,1,温柔到骨子里,2025-10-28 16:55:20,用户A68,50,0
a5641d09-41ee-445e-9f88-c94383eaa4bb,,0,看到那句话直接泪目,2025-10-28 17:26:10,用户069,134,0
ec72177c-fd84-4de8-9363-b93f8ac72ec1,a5641d09-41ee-445e-9f88-c94383eaa4bb,1,“要温柔也要坚定”,2025-10-28 17:44:09,用户A69,46,0
c20da1a7-95e8-4e7e-984e-8e177c1cd2a6,,0,这段bgm让我想起夏天,2025-10-28 18:18:42,用户070,83,0
a0abbea2-53ab-41c2-a579-e5badf58c4bc,,0,太喜欢这个系列了,2025-10-29 09:09:16,用户071,145,0
d9288c60-2186-4cd4-8853-6d30d028dd3d,a0abbea2-53ab-41c2-a579-e5badf58c4bc,1,我都收藏了,2025-10-29 09:22:47,用户A71,38,0
