cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
84643bee-f03b-4e71-befc-602d5fb0d0ba,,0,这期真的太治愈了，看了三遍,2025-10-27 09:15:10,用户051,156,0
0a52eb82-f33e-42fe-85d6-7d4330ad325b,84643bee-f03b-4e71-befc-602d5fb0d0ba,1,我也是，每次都被打动,2025-10-27 09:32:42,用户A51,42,0
70ce0b07-a14e-4c81-8e9b-459f2c546910,,0,有种纪录片的质感,2025-10-27 10:20:25,用户052,88,0
7e583dcb-1c33-4d32-a121-6be5935615de,70ce0b07-a14e-4c81-8e9b-459f2c546910,1,光影很真实,2025-10-27 10:35:16,用户A52,25,0
cfb2f663-b698-4422-9ae2-072deb309ee1,,0,这背景音乐叫什么？,2025-10-27 11:03:14,用户053,63,0
dbdf5242-e39c-40fe-b8ba-72fc7b2272b7,cfb2f663-b698-4422-9ae2-072deb309ee1,1,《风的形状》,2025-10-27 11:19:02,用户A53,19,0
3af2f21c-2163-46f4-8da5-702898c345f3,,0,博主太会选素材了,2025-10-27 12:24:18,用户054,117,0
f5daef58-e406-4b0b-83c0-969a76aba94f,3af2f21c-2163-46f4-8da5-702898c345f3,1,每帧都像画,2025-10-27 12:35:20,用户A54,33,0
18174583-d01a-4441-9cff-65769829988f,,0,这个色调真的太好看了,2025-10-27 13:17:59,用户055,79,0
ea7b6c43-c33a-4d42-bf51-70001685a00f,,0,有点像日剧的镜头语言,2025-10-27 14:22:46,用户056,95,0
969645b0-c0e6-4647-9329-878403676667,ea7b6c43-c33a-4d42-bf51-70001685a00f,1,特别干净,2025-10-27 14:39:00,用户A56,27,0
7782c270-90aa-4275-bd88-2c8d64d172fd,,0,看到最后泪崩了,2025-10-27 15:31:18,用户057,163,0
ec4ff0a4-c9f9-463e-98d8-712a4ecf1e5c,7782c270-90aa-4275-bd88-2c8d64d172fd,1,太触动了,2025-10-27 15:47:52,用户A57,48,0
8f13aba4-b0bc-4510-acc9-c28105bbb060,,0,这期真的有力量,2025-10-27 16:43:09,用户058,138,0
42a7f3b5-5474-402f-a9a1-a0de68b0b8b0,8f13aba4-b0bc-4510-acc9-c28105bbb060,1,“温柔的人最强大”,2025-10-27 17:00:31,用户A58,44,0
45a2dcb0-49f6-4f86-93e8-958c621e0697,,0,每次都被文案打动,2025-10-27 17:50:05,用户059,119,0
0331d672-a156-4353-a6a1-ffc76f8cbe57,,0,看完又想起了某个人,2025-10-27 18:35:42,用户060,102,0
942007ca-7388-49b4-98bb-6b7eaae514da,0331d672-a156-4353-a6a1-ffc76f8cbe57,1,我懂那种感觉,2025-10-27 18:52:00,用户A60,35,0
4c0462dc-8cb6-4678-bb62-5a34a1ed6325,,0,真的希望这种风格一直保持,2025-10-28 09:20:51,用户061,127,0
8fd4a7b6-97c0-46f9-9075-16c39e5592f8,4c0462dc-8cb6-4678-bb62-5a34a1ed6325,1,永远支持,2025-10-28 09:36:09,用户A61,39,0
a9427547-fdbf-4326-9bf2-39614b26fe32,,0,光影太绝了,2025-10-28 10:14:27,用户062,84,0
878747da-aad0-4985-a2a3-00de178eea2a,a9427547-fdbf-4326-9bf2-39614b26fe32,1,感觉像电影镜头,2025-10-28 10:25:50,用户A62,22,0
9013eea9-736c-4fc0-9318-012236bca18c,,0,文案真的越来越有深度,2025-10-28 11:28:33,用户063,112,0
d181d7a5-4797-400e-ae25-8e1f1847b6fa,9013eea9-736c-4fc0-9318-012236bca18c,1,尤其是结尾那段,2025-10-28 11:39:46,用户A63,30,0
bd69eb3b-76ff-4f82-9c7b-68abb6f17292,,0,这音乐是原创的吗？,2025-10-28 12:10:59,用户064,74,0
c0fab95a-0046-4585-97e7-ac9ca78e2050,,0,太美了吧这取景,2025-10-28 13:05:14,用户065,96,0
287af394-6940-411f-a17e-86af844a60a7,c0fab95a-0046-4585-97e7-ac9ca78e2050,1,光线抓得好,2025-10-28 13:21:58,用户A65,28,0
0b81d44d-ebaf-4448-bbb1-a2b2fe560926,,0,想看这个系列的幕后,2025-10-28 14:19:44,用户066,105,0
50cd8e99-c909-4129-bd04-ba5cb2f11c38,0b81d44d-ebaf-4448-bbb1-a2b2fe560926,1,他们微博有发,2025-10-28 14:35:10,用户A66,31,0
820a7141-5ea5-4f49-9b31-cd2e2284ef35,,0,感觉故事很真实,2025-10-28 15:42:27,用户067,91,0
78c62df3-4daa-4759-bdd4-73f3f25c1bb5,820a7141-5ea5-4f49-9b31-cd2e2284ef35,1,像生活里的片段,2025-10-28 15:59:18,用户A67,24,0
49220466-18d6-4de6-bc45-0071ba8f38fe,,0,太温柔了这期,2025-10-28 16:37:51,用户068,152,0
95d1d4ac-6bfa-4601-849f-66cfa51f827f,49220466-18d6-4de6-bc45-0071ba8f38fe,1,温柔到骨子里,2025-10-28 16:55:20,用户A68,50,0
fb8ce180-cd03-44e5-8537-291cebe0eee2,,0,看到那句话直接泪目,2025-10-28 17:26:10,用户069,134,0
54ce38a8-b297-4c95-b9aa-a792cbbd3f0a,fb8ce180-cd03-44e5-8537-291cebe0eee2,1,“要温柔也要坚定”,2025-10-28 17:44:09,用户A69,46,0
57f3907d-082d-4ef5-910e-6dded0e6878d,,0,这段bgm让我想起夏天,2025-10-28 18:18:42,用户070,83,0
ff455237-1a12-450a-b88c-464966d8e19a,,0,太喜欢这个系列了,2025-10-29 09:09:16,用户071,145,0
508747a8-883d-451a-8d55-74b4ca5bb36a,ff455237-1a12-450a-b88c-464966d8e19a,1,我都收藏了,2025-10-29 09:22:47,用户A71,38,0
92006e14-f640-4719-852c-e474879628eb,,0,感觉节奏刚刚好,2025-10-29 10:22:03,用户072,103,0
e6716ce3-c0bb-412a-8803-41249f84728f,92006e14-f640-4719-852c-e474879628eb,1,毫不拖沓,2025-10-29 10:37:55,用户A72,29,0
c7635c0b-80da-4876-b9a1-35ca92078ebd,,0,画面好有质感,2025-10-29 11:11:28,用户073,116,0
f5661aa9-72d5-4b4e-b301-a45e5465746d,,0,看完好平静,2025-10-29 12:27:44,用户074,98,0
f3e78fb7-510a-4647-ade8-9cec93c4ecf4,f5661aa9-72d5-4b4e-b301-a45e5465746d,1,很疗愈,2025-10-29 12:45:09,用户A74,25,0
c479ae2b-cd30-44c9-aa78-7d48e9ae35f2,,0,太会讲故事了,2025-10-29 13:33:51,用户075,122,0
379a64c8-0548-4bd7-a702-6a1cdf0de0b0,c479ae2b-cd30-44c9-aa78-7d48e9ae35f2,1,文案真绝,2025-10-29 13:50:21,用户A75,34,0
75f5b476-8b2b-49fc-be7f-993a77dcde64,,0,感觉每一集都像电影,2025-10-29 14:16:37,用户076,139,0
d016237c-0fd9-41f2-8f17-7f34f2b303c8,75f5b476-8b2b-49fc-be7f-993a77dcde64,1,剧本也写得好,2025-10-29 14:31:40,用户A76,37,0
560c30cb-6040-44d6-bcdc-c2ce5a98b748,,0,这期太短了！还想看！,2025-10-29 15:28:19,用户077,110,0
d8c6c003-ea8f-4ada-96b6-2a72ba0180c1,560c30cb-6040-44d6-bcdc-c2ce5a98b748,1,同感不够看,2025-10-29 15:45:55,用户A77,32,0
e1e91077-2826-4ef9-8f65-4e7ac4003842,,0,想问滤镜名字,2025-10-29 16:20:04,用户078,75,0
0b19c9e2-21a8-4526-9bc1-7ccbc59d1937,e1e91077-2826-4ef9-8f65-4e7ac4003842,1,可能是CineBloom,2025-10-29 16:37:22,用户A78,20,0
c7a72b32-3f77-45a0-8838-cb364a189583,,0,自己看了都想重新出发,2025-10-29 17:12:47,用户079,158,0
b2d38f5d-de0c-4a9d-aa9c-3cf1124612ee,c7a72b32-3f77-45a0-8838-cb364a189583,1,加油！生活还在继续,2025-10-29 17:27:14,用户A79,49,0
a813e4a2-2145-4d03-8a3c-8b5c6ad1f418,,0,这期真的有点意思,2025-10-29 18:04:18,用户080,88,0
c72ab176-094f-4a52-8f7c-7a2b62b3c4c9,a813e4a2-2145-4d03-8a3c-8b5c6ad1f418,1,同感，比上期好,2025-10-29 18:19:31,用户A80,24,0
fab03998-b602-41a7-b4ca-2d82442c674a,,0,我爱这镜头语言,2025-10-30 09:17:03,用户081,133,0
73b36c34-dcae-4ca4-ab0d-1437cd208613,fab03998-b602-41a7-b4ca-2d82442c674a,1,构图太美了,2025-10-30 09:34:12,用户A81,42,0
4e8d7013-2016-4ee2-9207-bdda805d8a83,,0,看完心都静了,2025-10-30 10:09:45,用户082,124,0
55297ebd-3bad-4a57-b02c-7c9539fedf07,4e8d7013-2016-4ee2-9207-bdda805d8a83,1,太有感染力,2025-10-30 10:26:00,用户A82,40,0
a4ba1e0c-f6be-45d0-adce-f0489d977489,,0,真希望能出原声带,2025-10-30 11:22:28,用户083,92,0
