cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
e06f59bb-7f9a-4aa0-85c1-52c9b6046a71,,0,这期真的太治愈了，看了三遍,2025-10-27 09:15:10,用户051,156,0
0246eda7-bdde-4c9b-8631-2d4203e74118,e06f59bb-7f9a-4aa0-85c1-52c9b6046a71,1,我也是，每次都被打动,2025-10-27 09:32:42,用户A51,42,0
be22fd28-e99e-41e3-a02c-e9fabb8d37a9,,0,有种纪录片的质感,2025-10-27 10:20:25,用户052,88,0
da73a57b-2dcf-4c9c-b7d9-c506303c324b,be22fd28-e99e-41e3-a02c-e9fabb8d37a9,1,光影很真实,2025-10-27 10:35:16,用户A52,25,0
aae8c7ef-7d15-4b6d-8ee7-bd421d577424,,0,这背景音乐叫什么？,2025-10-27 11:03:14,用户053,63,0
3e49cf8c-ac0a-4479-9622-d4ceb1a6ff6e,aae8c7ef-7d15-4b6d-8ee7-bd421d577424,1,《风的形状》,2025-10-27 11:19:02,用户A53,19,0
42498715-7f91-409f-86f2-faad789fe1e2,,0,博主太会选素材了,2025-10-27 12:24:18,用户054,117,0
7c273a20-1d72-48f0-a8c3-5322d309833e,42498715-7f91-409f-86f2-faad789fe1e2,1,每帧都像画,2025-10-27 12:35:20,用户A54,33,0
43d6b74f-b55c-4a3d-b268-bb3de4de6d82,,0,这个色调真的太好看了,2025-10-27 13:17:59,用户055,79,0
a15329f2-b4bb-4452-a516-f8ddc25b3fbd,,0,有点像日剧的镜头语言,2025-10-27 14:22:46,用户056,95,0
ff6c51dd-2297-46d6-b813-6d5f5e246a3f,a15329f2-b4bb-4452-a516-f8ddc25b3fbd,1,特别干净,2025-10-27 14:39:00,用户A56,27,0
cf635dc1-160f-46c5-a197-2b22f8d917c9,,0,看到最后泪崩了,2025-10-27 15:31:18,用户057,163,0
5679298f-b4c9-4b9a-a273-53bee37b10ba,cf635dc1-160f-46c5-a197-2b22f8d917c9,1,太触动了,2025-10-27 15:47:52,用户A57,48,0
270baa3c-30f0-4c55-a8b7-a7be9e4e310f,,0,这期真的有力量,2025-10-27 16:43:09,用户058,138,0
706c03ae-c2ae-4bd9-a328-c3f9a8d05ad9,270baa3c-30f0-4c55-a8b7-a7be9e4e310f,1,“温柔的人最强大”,2025-10-27 17:00:31,用户A58,44,0
fa35f860-8ce8-4ac8-b42d-e7ecec15acb5,,0,每次都被文案打动,2025-10-27 17:50:05,用户059,119,0
1c2c58b4-37c5-451d-8f86-66417bb3155e,,0,看完又想起了某个人,2025-10-27 18:35:42,用户060,102,0
