cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
4ad3c050-1e5b-4349-91a6-b3ae6cd16e6f,,0,这期真的太治愈了，看了三遍,2025-10-27 09:15:10,用户051,156,0
4af3f7af-1191-4dc8-b28a-d4964e32717c,4ad3c050-1e5b-4349-91a6-b3ae6cd16e6f,1,我也是，每次都被打动,2025-10-27 09:32:42,用户A51,42,0
8a69c542-3e25-4b88-8afa-4e69b88bc8c2,,0,有种纪录片的质感,2025-10-27 10:20:25,用户052,88,0
7e27e588-0cbc-4894-a9f3-49e954dd0789,8a69c542-3e25-4b88-8afa-4e69b88bc8c2,1,光影很真实,2025-10-27 10:35:16,用户A52,25,0
d64fa917-4b5e-4d4e-952a-8198db9c5971,,0,这背景音乐叫什么？,2025-10-27 11:03:14,用户053,63,0
b70ba8ee-6d89-441c-9293-d80f1e0e0a68,d64fa917-4b5e-4d4e-952a-8198db9c5971,1,《风的形状》,2025-10-27 11:19:02,用户A53,19,0
54606fd7-3e09-498e-bd14-b059e4769237,,0,博主太会选素材了,2025-10-27 12:24:18,用户054,117,0
5153e7c6-4e46-4b33-a592-1f653846b7c8,54606fd7-3e09-498e-bd14-b059e4769237,1,每帧都像画,2025-10-27 12:35:20,用户A54,33,0
5c39c62c-47cd-4622-99c4-8a10c5ae98f6,,0,这个色调真的太好看了,2025-10-27 13:17:59,用户055,79,0
267fcc5e-d8d7-4c49-a001-c589c4944afd,,0,有点像日剧的镜头语言,2025-10-27 14:22:46,用户056,95,0
cc06872f-71da-4b74-8b6a-0c6afc676516,267fcc5e-d8d7-4c49-a001-c589c4944afd,1,特别干净,2025-10-27 14:39:00,用户A56,27,0
e0800e1c-94e4-4796-a8d6-58eea5abcde9,,0,看到最后泪崩了,2025-10-27 15:31:18,用户057,163,0
d2b43cee-e5d4-4945-a2d5-c86ba5ea6757,e0800e1c-94e4-4796-a8d6-58eea5abcde9,1,太触动了,2025-10-27 15:47:52,用户A57,48,0
585afdc4-c265-42cf-a14e-d413b2461ba7,,0,这期真的有力量,2025-10-27 16:43:09,用户058,138,0
024e7751-1262-47a9-95e3-1dda7103d744,585afdc4-c265-42cf-a14e-d413b2461ba7,1,“温柔的人最强大”,2025-10-27 17:00:31,用户A58,44,0
c0c77627-640a-48d9-aefd-98d86e31ecfa,,0,每次都被文案打动,2025-10-27 17:50:05,用户059,119,0
311cc91d-c66e-4d63-9a35-50fff8fe1e41,,0,看完又想起了某个人,2025-10-27 18:35:42,用户060,102,0
33e01b7a-52a8-4d5e-8b8e-184d7eef1a8b,311cc91d-c66e-4d63-9a35-50fff8fe1e41,1,我懂那种感觉,2025-10-27 18:52:00,用户A60,35,0
1c15dd6e-7025-4104-b5e8-ab8b3174306b,,0,真的希望这种风格一直保持,2025-10-28 09:20:51,用户061,127,0
13985984-2308-4cb4-8193-000434bdddd9,1c15dd6e-7025-4104-b5e8-ab8b3174306b,1,永远支持,2025-10-28 09:36:09,用户A61,39,0
117ce030-e0fa-4036-ad07-7503768dceb8,,0,光影太绝了,2025-10-28 10:14:27,用户062,84,0
3da08cae-0cd8-435e-9a75-fa8e865ab53f,117ce030-e0fa-4036-ad07-7503768dceb8,1,感觉像电影镜头,2025-10-28 10:25:50,用户A62,22,0
33c5f5f6-cbcc-4277-9203-b0ab021cc0fe,,0,文案真的越来越有深度,2025-10-28 11:28:33,用户063,112,0
26aa9683-6a15-450d-b488-72582ffb0738,33c5f5f6-cbcc-4277-9203-b0ab021cc0fe,1,尤其是结尾那段,2025-10-28 11:39:46,用户A63,30,0
1db11701-6a4d-42a4-8051-9438792136a3,,0,这音乐是原创的吗？,2025-10-28 12:10:59,用户064,74,0
b55a6371-a082-42b9-9932-6e1899893b3c,,0,太美了吧这取景,2025-10-28 13:05:14,用户065,96,0
596ee807-27c8-4472-abd0-e5e956e457ec,b55a6371-a082-42b9-9932-6e1899893b3c,1,光线抓得好,2025-10-28 13:21:58,用户A65,28,0
7be115d0-2834-4a65-a65a-53f6aa1aac46,,0,想看这个系列的幕后,2025-10-28 14:19:44,用户066,105,0
