cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
9971829d-8430-4ec5-9817-e2bf8f5efc45,,0,最近物价真的涨太快了,2025-11-13 08:15:26,用户251,189,0
a90bec8b-f5ec-4735-999e-29b6ca59ab01,9971829d-8430-4ec5-9817-e2bf8f5efc45,1,一袋牛奶都快10块了,2025-11-13 08:33:02,用户A251,58,0
a7073b92-51bf-4234-835c-42d2cbd1bf94,,0,年轻人都开始存钱模式了,2025-11-13 09:10:48,用户252,132,0
23661765-51d3-41b0-9e26-0ee5fcfb70ce,a7073b92-51bf-4234-835c-42d2cbd1bf94,1,不敢乱花，每月都算账,2025-11-13 09:27:15,用户A252,41,0
fca8d84e-16d4-433c-8f93-8492f842cd82,,0,工资不涨消费涨，太难了,2025-11-13 10:02:31,用户253,173,0
2717fc7c-a6aa-40f9-a557-316d9b35d2b7,fca8d84e-16d4-433c-8f93-8492f842cd82,1,尤其是房租,2025-11-13 10:20:46,用户A253,47,0
552056a7-a4a7-47da-afb9-21dadef1cadb,,0,创业真不是谁都能干的,2025-11-13 11:13:44,用户254,106,0
17ff0689-bd42-43dd-8817-1be1e3d3b423,,0,感觉今年经济慢慢在回暖,2025-11-13 12:09:12,用户255,125,0
7cbc3e15-45dd-4f48-96fd-1564d010d10c,17ff0689-bd42-43dd-8817-1be1e3d3b423,1,小店生意确实多了点,2025-11-13 12:24:30,用户A255,33,0
28f7b9e8-9331-4b23-8a86-d39f3d0bb788,,0,这城市的夜市经济太旺了,2025-11-13 13:17:38,用户256,142,0
05fe0ac6-21f3-4cde-ba2f-99c9bac948fa,28f7b9e8-9331-4b23-8a86-d39f3d0bb788,1,摆摊也成就业方式了,2025-11-13 13:30:21,用户A256,39,0
0119d229-a15c-4374-a711-5baf9a965f96,,0,电商活动太多反而不敢买,2025-11-13 14:10:59,用户257,91,0
e15c6cf6-6aed-4547-9b21-9399c2721ae6,0119d229-a15c-4374-a711-5baf9a965f96,1,满减太复杂了,2025-11-13 14:24:08,用户A257,25,0
702bbcdd-6fae-490e-98f6-a011176e5753,,0,感觉现在的年轻人更务实了,2025-11-13 15:18:46,用户258,118,0
3af1c91d-9897-47dd-bd92-1eb0fa2c36de,702bbcdd-6fae-490e-98f6-a011176e5753,1,大家都在攒钱投资,2025-11-13 15:32:55,用户A258,30,0
77d5f14a-46de-4680-a179-4205af6d7dac,,0,房价真的要跌了吗？,2025-11-13 16:20:37,用户259,165,0
39c74d2f-b658-4308-85d3-dea4d6912029,77d5f14a-46de-4680-a179-4205af6d7dac,1,二手房已经在降了,2025-11-13 16:36:49,用户A259,46,0
44026fc9-e873-451b-8035-d1368326bc45,,0,看到消费券我才想出门,2025-11-13 17:19:18,用户260,97,0
0eaf3749-562c-45ae-8703-134fbf07bfae,,0,地摊经济其实挺有活力,2025-11-13 18:22:55,用户261,112,0
f7dca2e9-05d6-48d0-9a8d-04fa740bd209,0eaf3749-562c-45ae-8703-134fbf07bfae,1,夜晚的烟火气太真实,2025-11-13 18:36:42,用户A261,29,0
279035b9-1142-44c6-bbe7-e3d871d4c84d,,0,现在求职真是卷中卷,2025-11-13 19:10:14,用户262,131,0
1be5902c-91b8-4e94-8e42-a2f551048b12,279035b9-1142-44c6-bbe7-e3d871d4c84d,1,简历都得像产品介绍,2025-11-13 19:25:47,用户A262,35,0
f523f943-fe95-4541-bf45-d9eb7e2dbb97,,0,外卖涨价太离谱了吧,2025-11-13 20:07:31,用户263,109,0
0e7a1f72-5e1e-42f3-8a08-aa455c80e832,f523f943-fe95-4541-bf45-d9eb7e2dbb97,1,骑手也辛苦，但确实贵,2025-11-13 20:23:18,用户A263,28,0
cc9ba776-55ef-48b2-818c-d166de35ee5b,,0,股市又绿油油的一片,2025-11-13 21:01:27,用户264,145,0
e9a602f6-bfde-4b40-af78-fb0eef32b1fb,cc9ba776-55ef-48b2-818c-d166de35ee5b,1,心态练得越来越稳,2025-11-13 21:18:02,用户A264,40,0
a3d0dee3-4430-45d7-84eb-b2c78dc41237,,0,想辞职做自媒体，纠结中,2025-11-14 08:12:49,用户265,102,0
f0a668ef-a56d-4ea0-b1e6-5c3c96786c23,,0,感觉人民币越来越值钱了,2025-11-14 09:07:11,用户266,88,0
4488ed2f-6626-4b76-8739-07bf39759fac,f0a668ef-a56d-4ea0-b1e6-5c3c96786c23,1,主要是外需在变,2025-11-14 09:22:36,用户A266,22,0
aa352365-9f0e-4963-a592-216f7b8d3750,,0,小区楼下的咖啡店关了,2025-11-14 10:10:43,用户267,93,0
97810341-a080-4f57-8f9f-0cddeb28f194,aa352365-9f0e-4963-a592-216f7b8d3750,1,真的太多店撑不下去,2025-11-14 10:27:55,用户A267,25,0
50a47117-8770-434b-8271-1cec51080419,,0,失业率新闻都不敢看了,2025-11-14 11:16:50,用户268,137,0
669926de-ecf0-4bef-9c7d-748287605479,50a47117-8770-434b-8271-1cec51080419,1,但希望慢慢会好,2025-11-14 11:33:06,用户A268,34,0
e9e99489-d1f2-4969-9c11-196c5438c85f,,0,博主分析得太专业了,2025-11-14 12:08:44,用户269,99,0
89082ec4-10c5-44ef-bbc3-1f2a108d0c79,,0,年轻人理财意识确实强了,2025-11-14 13:05:55,用户270,121,0
4289d768-c9f1-4a34-b05d-80bbab654cf2,89082ec4-10c5-44ef-bbc3-1f2a108d0c79,1,基金定投成标配了,2025-11-14 13:21:42,用户A270,31,0
279c2fc7-1e77-42eb-89f6-ab6087de06ca,,0,这数据分析太到位,2025-11-14 14:12:13,用户271,115,0
03972049-7f5c-4178-91aa-b09bc028c9e9,279c2fc7-1e77-42eb-89f6-ab6087de06ca,1,图表做得清晰,2025-11-14 14:26:29,用户A271,29,0
6e66ee2d-b2c6-43aa-a86f-8fc4cd1cd9e1,,0,银行利率又降了,2025-11-14 15:18:26,用户272,128,0
