cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
430696b9-3a10-4d4d-8cb3-13a30244da7f,,0,双十一真的太烧钱了,2025-11-14 08:32:12,用户441,187,0
23f05284-5be9-476c-a88f-f33fe0020b25,430696b9-3a10-4d4d-8cb3-13a30244da7f,1,每年都说不买,2025-11-14 08:45:39,用户L441,47,0
65286382-aedb-4d63-bb16-c087b60cbde5,,0,这双鞋子性价比太高了,2025-11-14 09:18:40,用户442,156,0
654a3ad4-2e09-46ed-8490-f5be66c06f2f,65286382-aedb-4d63-bb16-c087b60cbde5,1,穿着也挺舒服,2025-11-14 09:33:00,用户L442,39,0
a59e6d19-affb-42f4-86fd-3eb0d24255f7,,0,某品牌的客服太贴心,2025-11-14 10:07:54,用户443,117,0
b5a22c90-de4f-400e-a546-1aad90621e60,a59e6d19-affb-42f4-86fd-3eb0d24255f7,1,售后体验满分,2025-11-14 10:22:26,用户L443,28,0
2811236e-bd03-4f61-a688-ac3732c7ff9f,,0,网购太容易冲动消费,2025-11-14 11:05:29,用户444,132,0
a3cdf05d-4124-4c82-b6af-fef003c71230,,0,直播间的优惠太诱人了,2025-11-14 12:09:33,用户445,145,0
0ca557e7-90e9-43b0-820d-6a7f669569f6,a3cdf05d-4124-4c82-b6af-fef003c71230,1,一不小心下单三单,2025-11-14 12:24:00,用户L445,33,0
1abe5280-c8a8-4e73-b7c0-a44fe22feedb,,0,包装比产品还高级,2025-11-14 13:13:16,用户446,108,0
32ba3d42-9121-4002-b4ae-57bea0c27667,1abe5280-c8a8-4e73-b7c0-a44fe22feedb,1,现在都靠颜值出圈,2025-11-14 13:26:41,用户L446,25,0
8cef893b-e615-4130-83ba-3c9f65334589,,0,快递速度太快了吧,2025-11-14 14:09:58,用户447,139,0
ad25e5e1-b193-4fca-b9e0-3b45330e7c76,8cef893b-e615-4130-83ba-3c9f65334589,1,早上买下午到,2025-11-14 14:23:30,用户L447,32,0
46107f5f-1493-49ec-9e23-9c25a3d19ed1,,0,收到包裹那一刻最快乐,2025-11-14 15:06:42,用户448,151,0
5f1c0904-5062-4089-ba65-138a42acc733,46107f5f-1493-49ec-9e23-9c25a3d19ed1,1,像拆盲盒一样,2025-11-14 15:20:59,用户L448,36,0
0fbe95c1-fe26-4bbe-a684-edb7776ee6ee,,0,新出的香水太好闻了,2025-11-14 16:10:21,用户449,128,0
7f60c0e3-e3ab-439b-8eef-34fc1e3b2859,0fbe95c1-fe26-4bbe-a684-edb7776ee6ee,1,甜而不腻那种,2025-11-14 16:23:57,用户L449,29,0
c8147653-681b-4c26-95a9-6892f5a6a838,,0,有会员真的便宜好多,2025-11-14 17:12:35,用户450,143,0
3cbf7a25-5cba-4f95-8fa6-4677d9da6d98,,0,店铺客服回复超快,2025-11-14 18:07:58,用户451,119,0
6b2e3a16-7653-4fb1-80bc-59c0b3bda131,3cbf7a25-5cba-4f95-8fa6-4677d9da6d98,1,服务态度好评,2025-11-14 18:22:41,用户L451,27,0
3056c72b-367f-47b5-9ffb-5b98e90c6cdd,,0,种草的那件衣服终于到手,2025-11-14 19:09:30,用户452,160,0
7b17e25b-b86a-471a-b19e-936ad880474a,3056c72b-367f-47b5-9ffb-5b98e90c6cdd,1,上身比图片好看,2025-11-14 19:22:48,用户L452,40,0
df0c37a7-9b47-4ae3-8377-fda0fc121bd1,,0,每次付款都心痛又快乐,2025-11-14 20:05:43,用户453,174,0
57ddf0fb-e6e0-48f6-8217-58e306bdd971,df0c37a7-9b47-4ae3-8377-fda0fc121bd1,1,典型“理智消费失败”,2025-11-14 20:19:18,用户L453,44,0
86527827-8dea-480c-a551-e3a8e5156235,,0,这包质量比预期好,2025-11-15 08:43:57,用户454,126,0
706650a4-924f-4eaf-ae6b-49dc6e6bd145,86527827-8dea-480c-a551-e3a8e5156235,1,拉链也顺滑,2025-11-15 08:58:22,用户L454,31,0
c2753f0d-a25f-4023-b8e3-e50f5a311e92,,0,退货流程真麻烦,2025-11-15 09:27:40,用户455,101,0
7ea52b50-0c75-4d61-a7a1-5b7043cce59c,c2753f0d-a25f-4023-b8e3-e50f5a311e92,1,填单比下单累,2025-11-15 09:43:05,用户L455,24,0
44d08309-7daf-4326-82d4-10d16017d82a,,0,想做个理智消费者太难,2025-11-15 10:15:32,用户456,135,0
6f4e0d4c-0ab9-4ccb-8c28-18993a82a625,44d08309-7daf-4326-82d4-10d16017d82a,1,手点得比脑子快,2025-11-15 10:28:48,用户L456,33,0
a388581d-a652-4a99-90f3-dba43d363e93,,0,电商节优惠太复杂,2025-11-15 11:20:49,用户457,118,0
ecab97e1-8a34-48e2-a292-6be4a611284b,a388581d-a652-4a99-90f3-dba43d363e93,1,算满减像做题,2025-11-15 11:36:27,用户L457,28,0
5d51ccec-ec3f-4e3e-a3c4-c0236903a90d,,0,买家秀比卖家秀好看,2025-11-15 12:17:22,用户458,152,0
b9b7fdae-8588-4cc9-99b0-4b845d646099,5d51ccec-ec3f-4e3e-a3c4-c0236903a90d,1,稀有的正面案例,2025-11-15 12:31:44,用户L458,38,0
03039ddd-e252-4b13-9b17-1d309a613a3e,,0,刷到的折扣简直血赚,2025-11-15 13:25:37,用户459,141,0
1557a2d5-8949-4eed-9dcb-183516a757e5,03039ddd-e252-4b13-9b17-1d309a613a3e,1,钱没省多少但开心,2025-11-15 13:40:21,用户L459,35,0
