cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
d865c81e-7c34-45ee-a994-4baec7a6d681,,0,这期真的太治愈了，看了三遍,2025-10-27 09:15:10,用户051,156,0
f2a63d37-1b78-4640-84e2-605d6ea77c1d,d865c81e-7c34-45ee-a994-4baec7a6d681,1,我也是，每次都被打动,2025-10-27 09:32:42,用户A51,42,0
e591261d-38b3-422a-ae5b-be3fe4591a92,,0,有种纪录片的质感,2025-10-27 10:20:25,用户052,88,0
e01a2331-ddd0-4aff-8832-fd5871232f9c,e591261d-38b3-422a-ae5b-be3fe4591a92,1,光影很真实,2025-10-27 10:35:16,用户A52,25,0
eb90772e-de7d-4744-ad08-92af4137aaea,,0,这背景音乐叫什么？,2025-10-27 11:03:14,用户053,63,0
00472e7a-ad60-49d3-b22f-3df6573e70d1,eb90772e-de7d-4744-ad08-92af4137aaea,1,《风的形状》,2025-10-27 11:19:02,用户A53,19,0
35efe277-9e62-4fc9-b842-961fa9b61823,,0,博主太会选素材了,2025-10-27 12:24:18,用户054,117,0
9f4518ce-95fd-499e-89c6-98fa263a8624,35efe277-9e62-4fc9-b842-961fa9b61823,1,每帧都像画,2025-10-27 12:35:20,用户A54,33,0
400cccb2-5689-4e5e-b135-fefee12502b1,,0,这个色调真的太好看了,2025-10-27 13:17:59,用户055,79,0
f178611c-e146-4e3e-be77-853e6b6214b1,,0,有点像日剧的镜头语言,2025-10-27 14:22:46,用户056,95,0
d8aee8f8-5fef-4499-9bd5-d859d14d47f7,f178611c-e146-4e3e-be77-853e6b6214b1,1,特别干净,2025-10-27 14:39:00,用户A56,27,0
6e130177-7112-48af-857f-d974a03cd658,,0,看到最后泪崩了,2025-10-27 15:31:18,用户057,163,0
3baddd4e-a235-4e83-91b3-3009cb495b5d,6e130177-7112-48af-857f-d974a03cd658,1,太触动了,2025-10-27 15:47:52,用户A57,48,0
c9ba8d65-7b0a-42f4-a86e-4624b0c7623b,,0,这期真的有力量,2025-10-27 16:43:09,用户058,138,0
8966e78b-2efd-4f94-a1a6-b353f723f2e7,c9ba8d65-7b0a-42f4-a86e-4624b0c7623b,1,“温柔的人最强大”,2025-10-27 17:00:31,用户A58,44,0
2fd126cf-7546-4ef5-8d9e-3c8a22735289,,0,每次都被文案打动,2025-10-27 17:50:05,用户059,119,0
350238f0-d7fa-4cf7-b6b9-16b719605372,,0,看完又想起了某个人,2025-10-27 18:35:42,用户060,102,0
cae65ae5-5350-4cb4-85cb-8c2f7589b7dc,350238f0-d7fa-4cf7-b6b9-16b719605372,1,我懂那种感觉,2025-10-27 18:52:00,用户A60,35,0
